time,text,user,rts,place,lon,lat
2017-05-06 16:02:55,"RT @Freezze: ""Excusez moi mais ... Mais .. Pourrait on évoquer le ... S'il vous plait ? Est ce que ... Oh et puis démerdez vous tiens""  #20…",Ju',7435,NaN,NaN,NaN
2017-05-06 16:02:38,RT @Freezze: RT si t'as rien compris. #2017LeDebat https://t.co/8mT06MGiZA,Marc barbier,10654,NaN,NaN,NaN
2017-05-06 16:02:38,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 https://t.co/XSQEn936G7,Dany,1568,NaN,NaN,NaN
2017-05-06 16:01:43,RT @EmmanuelMacron: Je veux présider le pays. #2017LeDébat,APPELEZ MOI ZA2👸🏻,1763,NaN,NaN,NaN
2017-05-06 15:59:41,RT @deleteitugly: Meilleur moment du débat #2017LeDebat https://t.co/8N9Dmgl2mH,Clem's,15120,NaN,NaN,NaN
2017-05-06 15:57:39,"RT @TeamMacron2017: Louis Aliot, du FN, avec Camel Bechikh représentant de l'UOIF. Marine Le Pen devrait balayer devant sa porte #2017LeDeb…",Dominique Baiguini,2113,NaN,NaN,NaN
2017-05-06 15:57:35,RT @EmmanuelMacron: #2017LeDébat en 5 minutes ! https://t.co/xAeJKpjDKu,🐑,3171,NaN,NaN,NaN
2017-05-06 15:57:31,"RT @EmmanuelMacron: Madame Le Pen, la France mérite mieux que vous. #2017LeDébat",twenty2,16683,NaN,NaN,NaN
2017-05-06 15:57:05,RT @deleteitugly: Meilleur moment du débat #2017LeDebat https://t.co/8N9Dmgl2mH,Emilie Arwidson,15120,NaN,NaN,NaN
2017-05-06 15:56:58,RT @Freezze: C'est bon elle a vrillé complet #2017LeDebat https://t.co/ldRd72wX7d,princesse_loulou13,12121,NaN,NaN,NaN
2017-05-06 15:56:27,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 https://t.co/XSQEn936G7,lénine,1568,NaN,NaN,NaN
2017-05-06 15:55:49,RT @Charli_thr: quand ca commence à parler de l'islam #2017LeDébat https://t.co/VG7dcnWTDK,🐉,1792,NaN,NaN,NaN
2017-05-06 15:55:18,RT @franceinfoplus: #2017LeDébat résumé en 13 dessins de presse drôles et moqueurs  https://t.co/lW59cawr87 https://t.co/MCKre3aNJQ,Christine Morlet CSP,367,NaN,NaN,NaN
2017-05-06 15:55:10,RT @laink: J'ai loupé un super débat apparemment :( #2017LeDebat,Skye Lancaster,54,NaN,NaN,NaN
2017-05-06 15:54:54,"RT @ZohraBitan: Par la puissance de la médiocrité et méchanceté de Marine Le Pen, Macron n'a pas eu de mal à briller ... #2017LeDebat",Nicole Maria FQSP©,56,NaN,NaN,NaN
2017-05-06 15:54:31,RT @deleteitugly: Meilleur moment du débat #2017LeDebat https://t.co/8N9Dmgl2mH,sarachou🌹,15120,NaN,NaN,NaN
2017-05-06 15:54:15,RT @mkfrison: Ça marche avec toutes les chansons !!! #2017LeDébat https://t.co/wVNpaVwjxu,léa,2099,NaN,NaN,NaN
2017-05-06 15:54:13,RT @Freezze: RT si t'as rien compris. #2017LeDebat https://t.co/8mT06MGiZA,💁🏻,10654,NaN,NaN,NaN
2017-05-06 15:53:32,"RT @Marine2017_EN: 🔴KEY PHRASE ""Mr #Macron, in any case, #France will be governed by a #Woman: either ME or Mrs. #MERKEL !"" #2017LeDebat @M…",Hiep Pham,511,NaN,NaN,NaN
2017-05-06 15:52:32,RT @Freezze: RT si t'as rien compris. #2017LeDebat https://t.co/8mT06MGiZA,Levi-sama in my ♡,10654,NaN,NaN,NaN
2017-05-06 15:51:42,RT @Freezze: RT si t'as rien compris. #2017LeDebat https://t.co/8mT06MGiZA,FreeYoni⚡️,10654,NaN,NaN,NaN
2017-05-06 15:51:28,RT @Freezze: RT si t'as rien compris. #2017LeDebat https://t.co/8mT06MGiZA,云霞,10654,NaN,NaN,NaN
2017-05-06 15:51:22,"RT @topito_com: Le temps de parole de Marine :
- 10 % son programme
- 90 % ""Macron il est méchant"" #2017LeDebat",Salomé ❤,2456,NaN,NaN,NaN
2017-05-06 15:51:05,"RT @CyrusNorth: La prochaine fois, prenez pas des journalistes ! Ramenez directement Super Nanny et Pascal le Grand Frère ! 
#2017LeDebat",Famas_972,1549,NaN,NaN,NaN
2017-05-06 15:50:35,RT @Freezze: C'est bon elle a vrillé complet #2017LeDebat https://t.co/ldRd72wX7d,FreeYoni⚡️,12121,NaN,NaN,NaN
2017-05-06 15:48:49,"RT @EmmanuelMacron: Madame Le Pen, la France mérite mieux que vous. #2017LeDébat",mims,16683,NaN,NaN,NaN
2017-05-06 15:47:51,RT @Sylvqin: T'as pas besoin de parler de ton programme si t'insultes l'autre candidat pendant 3h #2017LeDébat https://t.co/ocJ33xJMTd,Eva Plsn,32986,NaN,NaN,NaN
2017-05-06 15:47:24,RT @Freezze: C'est bon elle a vrillé complet #2017LeDebat https://t.co/ldRd72wX7d,🇫🇷🇪🇺vote Macron,12121,NaN,NaN,NaN
2017-05-06 15:45:57,RT @topito_com: Quand le prochain métro arrive dans 17 minutes #Nathalie2017 #2017LeDebat https://t.co/DgOIXbleIz,Melehan,693,NaN,NaN,NaN
2017-05-06 15:45:41,"RT @Marine2017_EN: 🔴KEY PHRASE ""Mr #Macron, in any case, #France will be governed by a #Woman: either ME or Mrs. #MERKEL !"" #2017LeDebat @M…",Robin Delmar Ph.D,511,NaN,NaN,NaN
2017-05-06 15:44:50,RT @lemonde_planete: .@N_Hulot « affligé » par l’absence de l’environnement de #2017ledebat et de la présidentielle https://t.co/oMsAam0ztz…,Cam Gql,122,NaN,NaN,NaN
2017-05-06 15:44:10,RT @EmmanuelMacron: L'un d'entre nous devra être le garant de nos institutions. Vous les menacez. Vous n'en êtes pas digne. #2017LeDébat ht…,AGBO Darius,895,NaN,NaN,NaN
2017-05-06 15:43:09,RT @Freezze: C'est bon elle a vrillé complet #2017LeDebat https://t.co/ldRd72wX7d,Mélanie S-manukyan,12121,NaN,NaN,NaN
2017-05-06 15:42:58,"RT @Neacko83: En 2002, Chirac disait : ""on ne débat pas avec l'extreme droite"".
15 ans après, en voyant #LePen, on comprend mieux pourquoi.…",farah,684,NaN,NaN,NaN
