,Unnamed: 0,text,dic_rounded,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,entities,candidate
0,0,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
1,1,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
2,2,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
3,3,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
4,4,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
5,5,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
6,6,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
7,7,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
8,8,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
9,9,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
10,10,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
11,11,"RT @NoSquash: MLP va finalement voter Macron !

#2017LeDébat ",Nan,2,2,2,0,1,1,"MLP,Macron",Macron
12,12,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
13,13,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
14,14,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
15,15,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
16,16,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
17,17,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
18,18,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
19,19,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
20,20,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
21,21,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
22,22,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
23,23,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
24,24,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
25,25,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
26,26,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
27,27,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
28,28,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
29,29,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
30,30,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
31,31,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
32,32,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
33,33,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
34,34,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
35,35,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
36,36,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
37,37,"RT @acide_cristal: Bon , je vais jouer à #animalcrossing ! Je suis tout de même Maire de ma ville moi. #2017LeDebat ",0,2,2,2,0,1,0,None,None
38,38,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
39,39,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
40,40,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
41,41,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
42,42,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
43,43,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
44,44,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
45,45,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
46,46,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
47,47,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
48,48,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
49,49,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
50,50,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
51,51,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht… ",0,2,2,2,0,1,1,"JE,ETAT NAZI",None
