,Unnamed: 0,text,dic_rounded,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,entities,candidate
0,0,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
1,1,RT @SteeveBriois: #Macron / #Hollande : même bilan ! Vous en revoulez pour 5 ans ? #Débat2017 #2017LeDébat ,Nan,2,2,2,1,1,1,#Macron,Macron
2,2,RT @lescogriffe1: Des débatteurs en herbe. #LeGrandDebat #LePenMacron #2017LeDebat #legrandnimportequoi #ecologie ,0,2,2,2,0,0,1,#LePenMacron,LePen
3,3,RT @extazysse: #2017LeDebat ,Nan,2,2,2,0,0,1,None,None
4,4,"RT @Marsupi_L_Ami: T'avais dit qu'on ferait des knackis...

Nathalie Saint-Cricq

#LeGrandDébat  #2017LeDébat  ",Nan,2,2,2,1,1,1,Nathalie,None
5,5,RT @extazysse: #2017LeDebat ,Nan,2,2,2,0,0,1,None,None
6,6,RT @Siphano: MLP est ridicule elle est venu pour attaquer et non débattre. Son temps de parole lui sert à critiquer son adversaire. Risible… ,0,2,2,2,0,1,0,MLP,None
7,7,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
#2017LeDebat  #GrandDebat 
  ",1,2,2,2,0,0,1,Leees,None
8,8,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
9,9,RT @LauDegallaix: C'est officiel @MLP_officiel a bien un projet mais jusque dimanche uniquement : taper sur @EmmanuelMacron #2017LeDebat #P… ,Nan,1,2,1,0,0,0,None,None
10,10,"RT @hb_xpredator: Journaliste : Vos propositions pour l'aide aux handicapés ? 

LePen : Vous savez l'immigration..

 #2017LeDebat  ",0,2,2,2,0,0,0,"Journaliste Vos,LePen Vous",LePen
11,11,"RT @jimmyfaitlcon: -moi je suis proche des salariés
-nan c'est moi
-nan c'est pas vrai c'est moi
-menteur c'est moi
#2017LeDébat ",0,2,2,0,0,0,0,None,None
12,12,Ma réflexion à chaud sur #2017LeDebat lors du duel tragicomique #LePen Vs #Macron 😂😂😂!!! #Présidentielle2017 ,0,2,2,2,0,0,0,"#LePen,#Macron",None
13,13,RT @xavierrothen: Quel est votre choix pour Dimanche ? #2017LeDebat ,Nan,2,1,2,0,1,0,Dimanche,None
14,14,"RT @jimmyfaitlcon: -moi je suis proche des salariés
-nan c'est moi
-nan c'est pas vrai c'est moi
-menteur c'est moi
#2017LeDébat ",0,2,2,0,0,0,0,None,None
15,15,"RT @YeojaDs: - pôpa ils ont dit que je méritais pas d'être présidente
- c'est pas grave tu resteras toujours ma petite nazie n'est-ce pas
#… ",Nan,1,2,1,1,1,1,None,None
16,16,RT @SteeveBriois: Le bilan de #Macron lorsqu'il était conseiller économique de François #Hollande a été catastrophique ! #Débat2017 #2017Le… ,Nan,2,2,2,0,1,0,"François,#Macron",Macron
17,17,RT @SteeveBriois: #Macron / #Hollande : même bilan ! Vous en revoulez pour 5 ans ? #Débat2017 #2017LeDébat ,Nan,2,2,2,1,1,1,#Macron,Macron
18,18,RT @SteeveBriois: Le bilan de #Macron lorsqu'il était conseiller économique de François #Hollande a été catastrophique ! #Débat2017 #2017Le… ,Nan,2,2,2,0,1,0,"François,#Macron",Macron
19,19,RT @SteeveBriois: Le bilan de #Macron lorsqu'il était conseiller économique de François #Hollande a été catastrophique ! #Débat2017 #2017Le… ,Nan,2,2,2,0,1,0,"François,#Macron",Macron
20,20,RT @SteeveBriois: Le bilan de #Macron lorsqu'il était conseiller économique de François #Hollande a été catastrophique ! #Débat2017 #2017Le… ,Nan,2,2,2,0,1,0,"François,#Macron",Macron
21,21,RT @SteeveBriois: Le bilan de #Macron lorsqu'il était conseiller économique de François #Hollande a été catastrophique ! #Débat2017 #2017Le… ,Nan,2,2,2,0,1,0,"François,#Macron",Macron
22,22,RT @SteeveBriois: #Macron / #Hollande : même bilan ! Vous en revoulez pour 5 ans ? #Débat2017 #2017LeDébat ,Nan,2,2,2,1,1,1,#Macron,Macron
23,23,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
24,24,RT @extazysse: #2017LeDebat ,Nan,2,2,2,0,0,1,None,None
25,25,RT @extazysse: #2017LeDebat ,Nan,2,2,2,0,0,1,None,None
26,26,"RT @Axouuuul: Qui a parié avec Macron pour qu'il glisse  ""poudre de perlinpinpin"" dans le débat ? #2017LeDébat ",Nan,2,2,2,0,1,0,Macron,Macron
27,27,RT @extazysse: #2017LeDebat ,Nan,2,2,2,0,0,1,None,None
28,28,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
29,29,Tu rajoutes une musique et sa fait tous 😂 #2017LeDébat ,Nan,2,2,2,1,0,0,None,None
30,30,RT @lescogriffe1: Des débatteurs en herbe. #LeGrandDebat #LePenMacron #2017LeDebat #legrandnimportequoi #ecologie ,0,2,2,2,0,0,1,#LePenMacron,LePen
31,31,RT @Siphano: MLP est ridicule elle est venu pour attaquer et non débattre. Son temps de parole lui sert à critiquer son adversaire. Risible… ,0,2,2,2,0,1,0,MLP,None
32,32,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
33,33,RT @extazysse: #2017LeDebat ,Nan,2,2,2,0,0,1,None,None
34,34,RT @extazysse: #2017LeDebat ,Nan,2,2,2,0,0,1,None,None
35,35,RT @extazysse: #2017LeDebat ,Nan,2,2,2,0,0,1,None,None
36,36,RT @extazysse: #2017LeDebat ,Nan,2,2,2,0,0,1,None,None
37,37,RT @extazysse: #2017LeDebat ,Nan,2,2,2,0,0,1,None,None
38,38,RT @extazysse: #2017LeDebat ,Nan,2,2,2,0,0,1,None,None
39,39,"RT @haristote0511: #2017LeDebat
Si vous vouliez 
cantine gratuite
du fond 
de l'écologie
du bio
du partage des richesses
de l'humain 
Bah f… ",1,2,2,2,0,1,0,None,None
40,40,RT @extazysse: #2017LeDebat ,Nan,2,2,2,0,0,1,None,None
41,41,RT @extazysse: #2017LeDebat ,Nan,2,2,2,0,0,1,None,None
42,42,#2017LeDebat ,Nan,2,2,2,0,0,1,None,None
43,43,RT @Mushway: macron il suce tellement c'est incroyable #2017LeDébat ,Nan,2,2,2,0,0,0,None,None
44,44,"RT @Mushway: le nombre de crétin sur ce hastag qui comprennent rien a ceux qu'il se dit  et qui rabâche la merde des autres , suicidez vous… ",0,2,2,0,0,0,0,None,None
45,45,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
46,46,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
47,47,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
48,48,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
49,49,"RT @SteeveBriois: #Macron est apparu comme le candidat de Hollande , assumant le bilan de Hollande. Le changement ne viendra que de Marine !… ",1,2,2,2,1,0,0,"Hollande,Hollande,Marine,#Macron",None
50,50,RT @SteeveBriois: #Macron / #Hollande : même bilan ! Vous en revoulez pour 5 ans ? #Débat2017 #2017LeDébat ,Nan,2,2,2,1,1,1,#Macron,Macron
51,51,"RT @SteeveBriois: #Macron est apparu comme le candidat de Hollande , assumant le bilan de Hollande. Le changement ne viendra que de Marine !… ",1,2,2,2,1,0,0,"Hollande,Hollande,Marine,#Macron",None
52,52,RT @StevenJoly3: Alerte ! Nous sommes a la recherche des deux journalistes  #2017LeDebat   😂😂😂 ,Nan,2,2,2,0,0,1,None,None
53,53,"  #2017ledebat C'est un complot , il savait depuis le début que j'étais un bot! Trop facile aussi.... ",Nan,2,2,1,0,0,0,None,None
54,54,RT @Siphano: MLP est ridicule elle est venu pour attaquer et non débattre. Son temps de parole lui sert à critiquer son adversaire. Risible… ,0,2,2,2,0,1,0,MLP,None
55,55,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
