,Unnamed: 0,text,dic_rounded,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,entities,candidate
0,0,"RT @MardiMondain: Qui soutenez-vous pour le 2nd tour? 🇫🇷
Lançons le GRAND sondage citoyen!
1•Votez 
2•Retweetez 
#2017LeDebat   
#ElectionP… ",0,2,2,2,0,0,0,GRAND,None
1,1,"RT @bchameroy: Je regarde #2017LeDebat en HD , c'est dingue on voit vachement bien les détails !  ",1,2,2,2,1,1,1,None,None
2,2,RT @pandisama_: CEST DE LA POUDRE DE PERLIMPIMPIMMMMMMM SALOOOOOPEEEEEEEE #2017LeDebat ,Nan,2,2,2,0,0,0,"CEST DE LA,POUDRE DE",None
3,3,RT @EMacron_2017: [#JeVoteMacron 🇫🇷 #2017LeDébat] E. #Macron le plus convaincant pour 63% des téléspectateurs ! 👏✌💪 ,Nan,2,2,1,0,1,1,"#JeVoteMacron,#Macron",Macron
4,4,"RT @lobs: #2017LeDebat , 23h18 , on a perdu Marine le Pen :    ",0,2,2,2,0,1,0,Marine,LePen
5,5,RT @deleteitugly: Meilleur moment du débat #2017LeDebat ,Nan,2,2,1,1,1,1,Meilleur,None
6,6,"RT @NicolasKanaan: Je suis sûr que Macron a parié 10000€ avec un pote qu'il devait placer ""Poudre de perlinpinpin"" dans une phrase

#LeGran… ",1,2,2,2,0,0,0,None,None
7,7,"RT @Neacko83: En 2002 , Chirac disait : ""on ne débat pas avec l'extreme droite"".
15 ans après , en voyant #LePen , on comprend mieux pourquoi.… ",1,2,2,2,1,0,1,"Chirac,#LePen",LePen
8,8,RT @Alextrxm: les journalistes quand ils essayent d'intervenir mais qu'ils se font couper la parole  #2017LeDebat ,Nan,2,2,2,0,1,0,None,None
9,9,"RT @auroreberge: Fierté immense de soutenir Emmanuel Macron d'autant plus grande après #2017LeDebat ! 
Remettons la France en marche ! 
#Je… ",1,2,2,2,0,0,0,"Fierté,Emmanuel Macron",Macron
10,10,RT @AudeLucet: Est-ce que les infirmier-e-s de l'unité psychiatrie pourraient venir chercher la dame blonde qui squatte à la télé svp ? #20… ,1,2,2,2,0,1,0,None,None
11,11,RT @TeamMacron2017: Sans appel #2017leDebat #JeVoteMacron ,Nan,2,2,2,0,0,0,#JeVoteMacron,Macron
12,12,RT @lemondefr: Deux heures trente d’émission et l’impression d’avoir davantage assisté à un match de boxe qu’à un débat de présidentielle..… ,Nan,2,2,2,0,1,1,None,None
13,13,RT @Freezze: RT si t'as rien compris. #2017LeDebat ,0,2,2,2,0,1,0,None,None
14,14,RT @deleteitugly: Meilleur moment du débat #2017LeDebat ,Nan,2,2,1,1,1,1,Meilleur,None
15,15,RT @Freezze: RT si t'as rien compris. #2017LeDebat ,0,2,2,2,0,1,0,None,None
16,16,"RT @topito_com: ""Madame Le Pen , votre avis sur les impôts ? 
- NON MAIS C'EST LA FAUTE A MACRON SI LES IMPÔTS Y SONT ÉLEVÉS""#2017LeDebat ",0,2,2,2,0,0,0,"MAIS,MACRON SI",Macron
17,17,RT @Sylvqin: T'as pas besoin de parler de ton programme si t'insultes l'autre candidat pendant 3h #2017LeDébat ,Nan,2,2,2,0,1,0,None,None
18,18,RT @hugogelin: Le Pen parle de Macron. Macron parle de la France. #2017LeDebat ,Nan,0,2,0,0,0,0,"Macron,Macron",Macron
19,19,RT @tayebtounsi: On parlera d'écologie avant minuit ? #2017ledebat #RendezNousMélenchon ,Nan,2,2,0,0,1,0,None,None
20,20,RT @FabAngotti: Images exclusives du retour d'Emmanuel Macron dans sa loge après le débat #2017LeDebat ,Nan,2,2,2,0,1,0,"Images,Emmanuel Macron",Macron
21,21,"RT @NormanDesVideos: J'ai l'impression que vous vous énervez , non c'est vous qui vous énervez , non c'est vous qui vous énervez , non c'est v… ",1,2,0,0,0,0,0,None,None
22,22,"RT @EmmanuelMacron: Madame Le Pen , la France mérite mieux que vous. #2017LeDébat ",1,1,2,1,1,1,1,Madame Le Pen,LePen
23,23,"RT @EmmanuelMacron: Madame Le Pen , la France mérite mieux que vous. #2017LeDébat ",1,1,2,1,1,1,1,Madame Le Pen,LePen
24,24,"RT @NormanDesVideos: J'ai l'impression que vous vous énervez , non c'est vous qui vous énervez , non c'est vous qui vous énervez , non c'est v… ",1,2,0,0,0,0,0,None,None
25,25,"RT @EmmanuelMacron: Je respecte vos électeurs , j'entends leur colère , mais vous la manipulez. #2017LeDébat ",0,2,2,2,0,0,1,None,None
26,26,RT @EmmanuelMacron: Le pays vous importe peu. Vous n'avez pas de projet pour lui sinon celui qui consiste à vivre de la peur et des mensong… ,0,0,2,0,0,1,0,None,None
27,27,"RT @NormanDesVideos: J'ai l'impression que vous vous énervez , non c'est vous qui vous énervez , non c'est vous qui vous énervez , non c'est v… ",1,2,0,0,0,0,0,None,None
28,28,"RT @Jul_XV: ""J'ai été avocate donc je sais comment fonctionne la justice"" = ""Je suis aide soignant donc je sais opérer à cœur ouvert"" #2017… ",1,2,2,2,0,0,0,None,None
29,29,RT @Sylvqin: T'as pas besoin de parler de ton programme si t'insultes l'autre candidat pendant 3h #2017LeDébat ,Nan,2,2,2,0,1,0,None,None
30,30,RT @Sylvqin: T'as pas besoin de parler de ton programme si t'insultes l'autre candidat pendant 3h #2017LeDébat ,Nan,2,2,2,0,1,0,None,None
31,31,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0,None,None
32,32,RT @Sylvqin: T'as pas besoin de parler de ton programme si t'insultes l'autre candidat pendant 3h #2017LeDébat ,Nan,2,2,2,0,1,0,None,None
33,33,RT @topito_com: #2017LeDebat ,Nan,2,2,2,0,0,1,None,None
34,34,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0,None,None
35,35,"RT @Freezze: ""Poudre de Perlimpinpin""  #2017LeDebat  ",Nan,2,2,2,0,0,1,None,None
36,36,RT @EMacron_2017: [#JeVoteMacron 🇫🇷 #2017LeDébat] E. #Macron le plus convaincant pour 63% des téléspectateurs ! 👏✌💪 ,Nan,2,2,1,0,1,1,"#JeVoteMacron,#Macron",Macron
37,37,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0,None,None
38,38,RT @Marwan_FX: Attendez calmez vous. J'ai PAS (exactement) dit que je soutenais MLP. J'ai JUSTE dit que j'étais dispo pour un taf début mai… ,Nan,2,2,2,0,0,0,"PAS,MLP,JUSTE",None
39,39,"RT @jmaphatie: Apparemment , ils ne se sont pas serrés la main à la fin du debat... Pas étonnant , vu la violence @MLP_officiel @EmmanuelMacr… ",1,2,2,2,0,0,0,None,None
40,40,"RT @topito_com: ""Madame Le Pen , votre avis sur les impôts ? 
- NON MAIS C'EST LA FAUTE A MACRON SI LES IMPÔTS Y SONT ÉLEVÉS""#2017LeDebat ",0,2,2,2,0,0,0,"MAIS,MACRON SI",Macron
41,41,RT @MarianneleMag: Marine Le Pen et la sortie de l'euro : le grand grand flou #2017LeDebat    ,1,2,2,2,0,0,0,Marine Le Pen,LePen
42,42,RT @cyril_pouchin: Marine Le Pen se noie totalement sur la question de l'Europe. A pleurer de rire.  #2017LeDebat #LePenNon ,0,2,2,2,0,1,0,"Marine Le Pen,Europe,#LePenNon",LePen
43,43,"RT @libe: La carte blanche de Marine Le Pen :« Je n'ai pas de thème choisi , c'est une philosophie générale» #2017LeDebat  ",Nan,2,2,2,1,0,0,Marine Le Pen,LePen
44,44,RT @Rayanlvtt: Si Macron est élu #2017LeDebat #GrandDebat ,Nan,2,2,2,0,1,0,Macron,Macron
45,45,RT @EmmanuelMacron: L'un d'entre nous devra être le garant de nos institutions. Vous les menacez. Vous n'en êtes pas digne. #2017LeDébat ht… ,1,2,2,2,0,0,0,None,None
46,46,"RT @EmmanuelMacron: Vous êtes sous le coup d'une affaire judiciaire , pas moi. Quand les juges ne vous arrangent pas , ils sont incompétents.… ",Nan,2,2,2,1,1,0,None,None
47,47,"RT @Alextrxm: ""Madame Le Pen , vous pouvez nous parler de votre programme ? De vos propositions ?"" #2017LeDebat  ",Nan,2,2,0,0,1,0,None,None
48,48,"RT @solere92: bon boulot ce soir de @MLP_officiel qui , par son indignité , aura donné envie de voter @EmmanuelMacron au derniers hésitants #… ",1,2,2,2,1,1,1,None,None
49,49,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0,None,None
50,50,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0,None,None
51,51,RT @Freezze: C'est bon elle a vrillé complet #2017LeDebat ,1,2,2,2,0,0,0,None,None
52,52,"RT @EmmanuelMacron: Je suis debout , mais pour être debout je n'ai pas besoin de salir les étrangers ou les juges. #2017LeDébat ",0,2,2,2,0,1,0,None,None
53,53,"RT @dupontaignan: ""Contrôler les frontières ne sert à rien contre le terrorisme"" : la folie laxiste de M. Macron dévoilée au grand jour ! #… ",0,2,2,2,0,0,0,Macron,Macron
54,54,"RT @topito_com: ""Madame Le Pen , votre avis sur les impôts ? 
- NON MAIS C'EST LA FAUTE A MACRON SI LES IMPÔTS Y SONT ÉLEVÉS""#2017LeDebat ",0,2,2,2,0,0,0,"MAIS,MACRON SI",Macron
