time,text,user,rts,place,lon,lat
2017-05-06 17:28:43,RT @Corse_Matin: #2017LeDebat Quand tu ramène ta poudre de perlimpimpin à la Présidentielles,verratti,211,NaN,42.15,9.083333
2017-05-06 13:46:43,RT @Corse_Matin: #2017LeDebat Quand tu ramène ta poudre de perlimpimpin à la Présidentielles,Poloooooo,211,NaN,42.15,9.083333
2017-05-06 13:45:50,RT @Corse_Matin: #2017LeDebat Quand tu ramène ta poudre de perlimpimpin à la Présidentielles,Vani,211,NaN,42.15,9.083333
2017-05-06 09:18:53,"RT @Corse_Matin: #2017LeDebat Quand t'as échappé à ce second tour et que tu regardes le débat au village, pépouze devant la TV,Marina Santoni,87,NaN,42.15,9.083333
2017-05-05 19:10:12,"RT @CHRISTINA2A12: C bien ce que je pensais en regardant #2017LeDebat :
 #Macreux avait tout de l'élève qui attendait les réponses de sa pr…",Metais,1,NaN,42.15,9.083333
2017-05-05 19:08:21,"C bien ce que je pensais en regardant #2017LeDebat :
 #Macreux avait tout de l'élève qui attendait les réponses de…,Chris2A12#TeamRDN,1,NaN,42.15,9.083333
2017-05-05 18:28:14,RT @iSleex_: qd elle te regarde comme ça t'as tout gagné #2017LeDebat,C HARAM DE MENTIR,310,NaN,42.15,9.083333
2017-05-05 16:09:12,"RT @dounss_nia: @GRADIDUR quand il s'ennuie il prend des hélicos,il Va voir en didi la #LDC, moi quand je m'ennuie je snap Marine LEPEN 😂😅#…",kevin,63,NaN,42.15,9.083333
2017-05-05 16:00:04,RT @iSleex_: #2017LeDébat,antoinette kossaifi,69,NaN,42.15,9.083333
2017-05-05 15:12:55,RT @iSleex_: qd elle te regarde comme ça t'as tout gagné #2017LeDebat,dedsokia,310,NaN,42.15,9.083333
2017-05-05 13:27:35,RT @iSleex_: #2017LeDébat,Tsukuyomi,69,NaN,42.15,9.083333
2017-05-05 12:51:09,@UPR_Asselineau @UPR_Officiel #Asselineau #2017LeDebat #Presidentielle2017 L'erreur de François Asselineau,Veilleo,0,NaN,42.15,9.083333
2017-05-05 10:18:33,Zoom infos l’essentiel de l’actualités est en ligne!  #2017ledebat,Naf,0,NaN,42.15,9.083333
2017-05-05 10:14:20,RT @joritz_larraza: Jean Lassalle aurait été tellement plus classe que ces marauds pleins d'écus! Béarn is coming!  #2017LeDebat,orfeu gregorj,5,NaN,42.15,9.083333
2017-05-05 08:19:09,RT @iSleex_: #2017LeDébat,Billions marocain,69,NaN,42.15,9.083333
2017-05-05 07:21:07,"RT @MassimuPoli: Tweet le plus drôle de l'entre deux tours, fin du game. #2017LeDebat,Yohan Colonna,2,NaN,42.15,9.083333
2017-05-05 06:17:56,Zoom infos l’essentiel de l’actualités est en ligne!  #abonnés #2017ledebat,Naf,0,NaN,42.15,9.083333
2017-05-05 05:58:09,RT @iSleex_: #2017LeDébat,ginger,69,NaN,42.15,9.083333
2017-05-05 05:19:32,RT @Corse_Matin: #2017LeDebat Quand tu ramène ta poudre de perlimpimpin à la Présidentielles,Suzzoni Florian,211,NaN,42.15,9.083333
2017-05-05 03:14:10,"RT @Corse_Matin: #2017LeDebat Quand t'as échappé à ce second tour et que tu regardes le débat au village, pépouze devant la TV,Olivier Antonini,87,NaN,42.15,9.083333
2017-05-04 23:34:26,RT @iSleex_: qd elle te regarde comme ça t'as tout gagné #2017LeDebat,Fabbri,310,NaN,42.15,9.083333
2017-05-04 22:49:08,"RT @dounss_nia: @GRADIDUR quand il s'ennuie il prend des hélicos,il Va voir en didi la #LDC, moi quand je m'ennuie je snap Marine LEPEN 😂😅#…",yodacosta,63,NaN,42.15,9.083333
2017-05-04 22:37:41,RT @iSleex_: #2017LeDebat,Fio🇱🇧,158,NaN,42.15,9.083333
