time,text,user,rts,place,lon,lat
2017-05-07 10:41:15,RT @Jiemdef: Le pouvoir secret de Marine Le Pen ... #2017LeDebat #LeGrandDebat #RendezNousMélenchon #IlsNePasserontPas #Malaise,alix🕊,285,NaN,48.699,6.187
2017-05-07 10:03:14,RT @Jiemdef: Le pouvoir secret de Marine Le Pen ... #2017LeDebat #LeGrandDebat #RendezNousMélenchon #IlsNePasserontPas #Malaise,Guillaume Ciry,285,NaN,48.699,6.187
2017-05-07 09:13:45,RT @Wyncz_: Voilà ce à quoi j'ai pensé  #GrandDebat #2017LeDebat Et fermez donc un peu! Jmen bats les couilles des 2 frchmt 😉,philippine,298,NaN,48.699,6.187
2017-05-07 07:28:41,RT @Jiemdef: Le pouvoir secret de Marine Le Pen ... #2017LeDebat #LeGrandDebat #RendezNousMélenchon #IlsNePasserontPas #Malaise,Floow,285,NaN,48.699,6.187
2017-05-07 01:03:05,RT @CuratPraetor: Kelsen est mort une deuxième fois #2017LeDebat,Lolo 🥑,48,NaN,48.699,6.187
2017-05-06 20:19:20,"RT @TwIttNTIN: Je ressors ce tweet du placard !  #RendezNousMelenchon 

#2017LeDebat #LeGrandDebat",charlie st-brieuc,42,NaN,48.699,6.187
2017-05-06 20:16:37,"RT @TwIttNTIN: Je ressors ce tweet du placard !  #RendezNousMelenchon 

#2017LeDebat #LeGrandDebat",Origan Gili,42,NaN,48.699,6.187
2017-05-06 20:15:49,RT @vnr54: Il y a un air de ressemblance non ? #2017LeDebat,情人節,1197,NaN,48.699,6.187
2017-05-06 20:06:39,"RT @TwIttNTIN: C qui le responsable de ce fiasco ? 
Celui qui nous a privé de @JLMelenchon au 2nd tour ? 
Qu'il lève la main ! 
#2017LeDeba…",Habib Ragelhassi,367,NaN,48.699,6.187
2017-05-06 16:58:20,"RT @coccinellie77: Emmanuel Macron c'est le candidat de la finance, MARINE LE PEN LA CANDIDATE  DE LA FRANCE #2017LeDebat #LeGrandDebat",Thierry C02,3,NaN,48.699,6.187
2017-05-06 16:45:35,"RT @coccinellie77: Emmanuel Macron c'est le candidat de la finance, MARINE LE PEN LA CANDIDATE  DE LA FRANCE #2017LeDebat #LeGrandDebat",Robert Dupont,3,NaN,48.699,6.187
2017-05-06 16:09:06,RT @Wyncz_: Voilà ce à quoi j'ai pensé  #GrandDebat #2017LeDebat Et fermez donc un peu! Jmen bats les couilles des 2 frchmt 😉,DoYouLikeMessi ?,298,NaN,48.699,6.187
2017-05-06 16:07:48,"RT @Serena_Rnrt: Stratégie de MLP ce soir : 
Se servir de l'attaque pour dissimuler son  programme chimérique #2017LeDebat",pouleto,113,NaN,48.699,6.187
2017-05-06 15:38:01,RT @mathieuklein: Elle est affligeante et effrayante de bout en bout #2017LeDebat. Oubliez vos pudeurs et aux urnes ! #JeVoteMacron,Mounia,20,NaN,48.699,6.187
2017-05-06 15:27:49,RT @NardineMorano: Marine veut renvoyer les fichés S au FichéSistan ! #2017LeDebat,kawolbbh,58,NaN,48.699,6.187
2017-05-06 15:20:02,RT @CuratPraetor: Kelsen est mort une deuxième fois #2017LeDebat,Deeply hopeful ✌,48,NaN,48.699,6.187
2017-05-06 14:32:54,RT @Jiemdef: Le pouvoir secret de Marine Le Pen ... #2017LeDebat #LeGrandDebat #RendezNousMélenchon #IlsNePasserontPas #Malaise,Orchon Welles,285,NaN,48.699,6.187
2017-05-06 11:54:11,RT @m4ssive_attack: Eh les journalistes vous voulez un coup de main ? #2017LeDebat,sima,52,NaN,48.699,6.187
2017-05-06 11:53:43,RT @leovltn: le débat présidentiel c'est un rap contenders #2017LeDebat #GrandDebat #,Quentin ferre,6,NaN,48.699,6.187
2017-05-06 11:35:58,RT @Jiemdef: Le pouvoir secret de Marine Le Pen ... #2017LeDebat #LeGrandDebat #RendezNousMélenchon #IlsNePasserontPas #Malaise,Fanny B,285,NaN,48.699,6.187
