time ,text ,user ,rts ,place ,lon ,lat
2017-05-07 10:39:58 ,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",charli ,2559,NaN ,50287,2781
2017-05-07 09:54:41 ,RT @SteeveBriois: #Macron / #Hollande : même bilan ! Vous en revoulez pour 5 ans ? #Débat2017 #2017LeDébat ,La Rage ,436,NaN ,50287,2781
2017-05-07 09:51:20 ,RT @lescogriffe1: Des débatteurs en herbe. #LeGrandDebat #LePenMacron #2017LeDebat #legrandnimportequoi #ecologie ,M-O-I ,25,NaN ,50287,2781
2017-05-07 09:37:17 ,RT @extazysse: #2017LeDebat ,troia🥀 ,13,NaN ,50287,2781
2017-05-07 09:33:06 ,"RT @Marsupi_L_Ami: T'avais dit qu'on ferait des knackis...

Nathalie Saint-Cricq

#LeGrandDébat  #2017LeDébat  ",♡  hiii ♡ ,60,NaN ,50287,2781
2017-05-07 08:46:25 ,RT @extazysse: #2017LeDebat ,mentoumnda ,13,NaN ,50287,2781
2017-05-07 08:39:49 ,RT @Siphano: MLP est ridicule elle est venu pour attaquer et non débattre. Son temps de parole lui sert à critiquer son adversaire. Risible… ,Didenns ,1418,NaN ,50287,2781
2017-05-07 08:18:34 ,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
#2017LeDebat  #GrandDebat 
  ",Captain' X ,378,NaN ,50287,2781
2017-05-07 07:37:33 ,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",⛵ ,2559,NaN ,50287,2781
2017-05-07 07:32:09 ,RT @LauDegallaix: C'est officiel @MLP_officiel a bien un projet mais jusque dimanche uniquement : taper sur @EmmanuelMacron #2017LeDebat #P… ,Un Français 🐸🔻 ,5,NaN ,50287,2781
2017-05-07 07:29:24 ,"RT @hb_xpredator: Journaliste : Vos propositions pour l'aide aux handicapés ? 

LePen : Vous savez l'immigration..

 #2017LeDebat  ",GeekFou FFA ,1139,NaN ,50287,2781
2017-05-07 01:33:00 ,"RT @jimmyfaitlcon: -moi je suis proche des salariés
-nan c'est moi
-nan c'est pas vrai c'est moi
-menteur c'est moi
#2017LeDébat ",Léanne RDLPH ,843,NaN ,50287,2781
2017-05-07 00:53:12 ,Ma réflexion à chaud sur #2017LeDebat lors du duel tragicomique #LePen Vs #Macron 😂😂😂!!! #Présidentielle2017 ,Khader MOULFI ,0,NaN ,50287,2781
2017-05-06 23:39:05 ,RT @xavierrothen: Quel est votre choix pour Dimanche ? #2017LeDebat ,sandy kylian ,2,NaN ,50287,2781
2017-05-06 23:28:01 ,"RT @jimmyfaitlcon: -moi je suis proche des salariés
-nan c'est moi
-nan c'est pas vrai c'est moi
-menteur c'est moi
#2017LeDébat ",Lucie ,843,NaN ,50287,2781
2017-05-06 22:38:51 ,"RT @YeojaDs: - pôpa ils ont dit que je méritais pas d'être présidente
- c'est pas grave tu resteras toujours ma petite nazie n'est-ce pas
#… ",Eva ♥ ,5,NaN ,50287,2781
2017-05-06 22:35:16 ,RT @SteeveBriois: Le bilan de #Macron lorsqu'il était conseiller économique de François #Hollande a été catastrophique ! #Débat2017 #2017Le… ,claudine ,249,NaN ,50287,2781
2017-05-06 22:17:01 ,RT @SteeveBriois: #Macron / #Hollande : même bilan ! Vous en revoulez pour 5 ans ? #Débat2017 #2017LeDébat ,FDF59200 ,436,NaN ,50287,2781
2017-05-06 22:16:39 ,RT @SteeveBriois: Le bilan de #Macron lorsqu'il était conseiller économique de François #Hollande a été catastrophique ! #Débat2017 #2017Le… ,FDF59200 ,249,NaN ,50287,2781
2017-05-06 22:04:53 ,RT @SteeveBriois: Le bilan de #Macron lorsqu'il était conseiller économique de François #Hollande a été catastrophique ! #Débat2017 #2017Le… ,Graoully ▽ن ,249,NaN ,50287,2781
2017-05-06 21:57:50 ,RT @SteeveBriois: Le bilan de #Macron lorsqu'il était conseiller économique de François #Hollande a été catastrophique ! #Débat2017 #2017Le… ,jpclos ,249,NaN ,50287,2781
2017-05-06 21:56:13 ,RT @SteeveBriois: Le bilan de #Macron lorsqu'il était conseiller économique de François #Hollande a été catastrophique ! #Débat2017 #2017Le… ,Verlinde 🇫🇷⛪️ ,249,NaN ,50287,2781
2017-05-06 21:55:02 ,RT @SteeveBriois: #Macron / #Hollande : même bilan ! Vous en revoulez pour 5 ans ? #Débat2017 #2017LeDébat ,Verlinde 🇫🇷⛪️ ,436,NaN ,50287,2781
2017-05-06 20:42:26 ,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",Mounia ,2559,NaN ,50287,2781
2017-05-06 20:26:54 ,RT @extazysse: #2017LeDebat ,'réa🌈 ,13,NaN ,50287,2781
2017-05-06 20:02:31 ,RT @extazysse: #2017LeDebat ,O5 ,13,NaN ,50287,2781
2017-05-06 19:57:11 ,"RT @Axouuuul: Qui a parié avec Macron pour qu'il glisse  ""poudre de perlinpinpin"" dans le débat ? #2017LeDébat ",🌹 ,83,NaN ,50287,2781
2017-05-06 19:31:02 ,RT @extazysse: #2017LeDebat ,lau' ,13,NaN ,50287,2781
2017-05-06 18:50:28 ,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",The Bopbop ,2559,NaN ,50287,2781
2017-05-06 18:43:37 ,Tu rajoutes une musique et sa fait tous 😂 #2017LeDébat ,on mapelle hamster ,0,NaN ,50287,2781
2017-05-06 18:36:17 ,RT @lescogriffe1: Des débatteurs en herbe. #LeGrandDebat #LePenMacron #2017LeDebat #legrandnimportequoi #ecologie ,Palasena ,25,NaN ,50287,2781
2017-05-06 18:25:59 ,RT @Siphano: MLP est ridicule elle est venu pour attaquer et non débattre. Son temps de parole lui sert à critiquer son adversaire. Risible… ,Alonir 13004 ,1418,NaN ,50287,2781
2017-05-06 18:24:11 ,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",French resistance ,2559,NaN ,50287,2781
2017-05-06 18:16:41 ,RT @extazysse: #2017LeDebat ,PRBLMS ,13,NaN ,50287,2781
2017-05-06 18:06:50 ,RT @extazysse: #2017LeDebat ,S H O O K ,13,NaN ,50287,2781
2017-05-06 18:03:10 ,RT @extazysse: #2017LeDebat ,Manon 💜 ,13,NaN ,50287,2781
2017-05-06 17:59:23 ,RT @extazysse: #2017LeDebat ,. ,13,NaN ,50287,2781
2017-05-06 17:50:41 ,RT @extazysse: #2017LeDebat ,max xam ,13,NaN ,50287,2781
2017-05-06 17:48:58 ,RT @extazysse: #2017LeDebat ,奥尼尔 ,13,NaN ,50287,2781
2017-05-06 17:48:03 ,"RT @haristote0511: #2017LeDebat
Si vous vouliez 
cantine gratuite
du fond 
de l'écologie
du bio
du partage des richesses
de l'humain 
Bah f… ",christophe ,17,NaN ,50287,2781
2017-05-06 17:48:01 ,RT @extazysse: #2017LeDebat ,Valentin L'Hermitte ,13,NaN ,50287,2781
2017-05-06 17:45:12 ,RT @extazysse: #2017LeDebat ,Anna ,13,NaN ,50287,2781
2017-05-06 17:43:38 ,#2017LeDebat ,bubbles🏳️‍🌈 ,13,NaN ,50287,2781
2017-05-06 16:15:25 ,RT @Mushway: macron il suce tellement c'est incroyable #2017LeDébat ,maxiss show ,8,NaN ,50287,2781
2017-05-06 16:15:06 ,"RT @Mushway: le nombre de crétin sur ce hastag qui comprennent rien a ceux qu'il se dit  et qui rabâche la merde des autres , suicidez vous… ",maxiss show ,14,NaN ,50287,2781
2017-05-06 16:12:00 ,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",DoYouLikeMessi ? ,2559,NaN ,50287,2781
2017-05-06 15:47:29 ,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",candy ,2559,NaN ,50287,2781
2017-05-06 15:37:51 ,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",chloé ,2559,NaN ,50287,2781
2017-05-06 14:47:43 ,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",Lewangoalski ⚽ ,2559,NaN ,50287,2781
2017-05-06 14:28:06 ,"RT @SteeveBriois: #Macron est apparu comme le candidat de Hollande , assumant le bilan de Hollande. Le changement ne viendra que de Marine !… ",Thomas Crook ,199,NaN ,50287,2781
2017-05-06 14:25:15 ,RT @SteeveBriois: #Macron / #Hollande : même bilan ! Vous en revoulez pour 5 ans ? #Débat2017 #2017LeDébat ,Gare au Gorille ,436,NaN ,50287,2781
2017-05-06 14:19:28 ,"RT @SteeveBriois: #Macron est apparu comme le candidat de Hollande , assumant le bilan de Hollande. Le changement ne viendra que de Marine !… ",Verlinde 🇫🇷⛪️ ,199,NaN ,50287,2781
2017-05-06 14:16:11 ,RT @StevenJoly3: Alerte ! Nous sommes a la recherche des deux journalistes  #2017LeDebat   😂😂😂 ,Panda des bois ,177,NaN ,50287,2781
