time ,text ,user ,rts ,place ,lon ,lat
2017-05-07 10:23:55 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Branle_Rien ,6620 ,NaN ,47.281 ,4.999
2017-05-07 10:08:42 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,anderson ,6620 ,NaN ,47.281 ,4.999
2017-05-07 09:56:50 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Dodo 👨🏽‍🚀 ,6620 ,NaN ,47.281 ,4.999
2017-05-07 09:45:52 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,11juiiiiiillet ,6620 ,NaN ,47.281 ,4.999
2017-05-07 09:41:52 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,vinceee ,6620 ,NaN ,47.281 ,4.999
2017-05-07 09:37:01 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Rhythm and poetry ,6620 ,NaN ,47.281 ,4.999
2017-05-07 09:04:42 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,A | J-9 ,6620 ,NaN ,47.281 ,4.999
2017-05-07 09:03:49 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Emmanuelle Levy ,6620 ,NaN ,47.281 ,4.999
2017-05-07 09:01:31 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,サラ ,6620 ,NaN ,47.281 ,4.999
2017-05-07 07:43:14 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,🤙🏼🔥 ,6620 ,NaN ,47.281 ,4.999
2017-05-07 07:30:43 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Vally ,6620 ,NaN ,47.281 ,4.999
2017-05-07 06:05:12 ,"RT @NoSquash: MLP va finalement voter Macron !

#2017LeDébat" ,MuMuLiTo ,18 ,NaN ,47.281 ,4.999
2017-05-07 04:45:26 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Diabolo ,6620 ,NaN ,47.281 ,4.999
2017-05-07 04:19:45 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,ANASEOK IS OTP ♡ ,6620 ,NaN ,47.281 ,4.999
2017-05-07 02:00:03 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Fouineuse ,6620 ,NaN ,47.281 ,4.999
2017-05-07 01:47:29 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,mathieu ,6620 ,NaN ,47.281 ,4.999
2017-05-07 00:53:03 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Julia Katlama ,6620 ,NaN ,47.281 ,4.999
2017-05-07 00:24:09 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,tolisso ,6620 ,NaN ,47.281 ,4.999
2017-05-06 23:48:17 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Mr. ,6620 ,NaN ,47.281 ,4.999
2017-05-06 23:46:20 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Yaaaaaaaaaaccckkk ,6620 ,NaN ,47.281 ,4.999
2017-05-06 23:28:07 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Lagertha ,6620 ,NaN ,47.281 ,4.999
2017-05-06 23:21:51 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,squats area ,6620 ,NaN ,47.281 ,4.999
2017-05-06 22:39:01 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,⚡ Real Fanatik ⚡ ,6620 ,NaN ,47.281 ,4.999
2017-05-06 22:31:49 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,li ,6620 ,NaN ,47.281 ,4.999
2017-05-06 22:18:33 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,👽 ,6620 ,NaN ,47.281 ,4.999
2017-05-06 21:47:23 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Mila Abt ,6620 ,NaN ,47.281 ,4.999
2017-05-06 21:46:38 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,sasha ,6620 ,NaN ,47.281 ,4.999
2017-05-06 21:45:17 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Mathilde ,6620 ,NaN ,47.281 ,4.999
2017-05-06 21:37:09 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,sana ,6620 ,NaN ,47.281 ,4.999
2017-05-06 21:25:23 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,barbus ,6620 ,NaN ,47.281 ,4.999
2017-05-06 21:24:05 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,lu👑 ,6620 ,NaN ,47.281 ,4.999
2017-05-06 21:08:57 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,smowk🌪 ,6620 ,NaN ,47.281 ,4.999
2017-05-06 21:06:13 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Nora Gues ,6620 ,NaN ,47.281 ,4.999
2017-05-06 20:41:46 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Caporal Machin ,6620 ,NaN ,47.281 ,4.999
2017-05-06 20:29:48 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Colyne ,6620 ,NaN ,47.281 ,4.999
2017-05-06 20:28:38 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,So ,6620 ,NaN ,47.281 ,4.999
2017-05-06 20:22:51 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,lee o'nel ,6620 ,NaN ,47.281 ,4.999
2017-05-06 20:21:43 ,"RT @acide_cristal: Bon , je vais jouer à #animalcrossing ! Je suis tout de même Maire de ma ville moi. #2017LeDebat" ,Alice🍕 ,3 ,NaN ,47.281 ,4.999
2017-05-06 20:19:13 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,☽ ,6620 ,NaN ,47.281 ,4.999
2017-05-06 20:11:22 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Adelooo ,6620 ,NaN ,47.281 ,4.999
2017-05-06 20:07:50 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Zozocarb ,6620 ,NaN ,47.281 ,4.999
2017-05-06 20:07:40 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Tim ,6620 ,NaN ,47.281 ,4.999
2017-05-06 20:05:45 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,La m'Adams ,6620 ,NaN ,47.281 ,4.999
2017-05-06 20:00:19 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,lulu 🐐 ,6620 ,NaN ,47.281 ,4.999
2017-05-06 19:59:04 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Le Corazón ,6620 ,NaN ,47.281 ,4.999
2017-05-06 19:57:34 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,jewel chagh ,6620 ,NaN ,47.281 ,4.999
2017-05-06 19:57:27 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,ＥＺＥＱＵＩＥＬ ,6620 ,NaN ,47.281 ,4.999
2017-05-06 19:57:01 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Wolf ,6620 ,NaN ,47.281 ,4.999
2017-05-06 19:56:23 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Simon Vandereecken ,6620 ,NaN ,47.281 ,4.999
2017-05-06 19:55:51 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Touk ,6620 ,NaN ,47.281 ,4.999
2017-05-06 19:40:02 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,ℤ⚜️ ,6620 ,NaN ,47.281 ,4.999
2017-05-06 19:18:57 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Foul ,6620 ,NaN ,47.281 ,4.999
2017-05-06 19:17:08 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,"Soso , -17" ,6620 ,NaN ,47.281 ,4.999
2017-05-06 18:58:26 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Chapinou ,6620 ,NaN ,47.281 ,4.999
2017-05-06 18:51:27 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,BlueDjinn ,6620 ,NaN ,47.281 ,4.999
2017-05-06 18:51:21 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,yoü ,6620 ,NaN ,47.281 ,4.999
2017-05-06 18:44:10 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Ꮻ͏͏с͏͏ӗ͏͏ ,6620 ,NaN ,47.281 ,4.999
2017-05-06 18:24:35 ,"RT @Lucas__Petit: La ""carte blanche"" d'@EmmanuelMacron sur les personnes en situation de handicap. 
#2017LeDebat #LEDEBAT2017 https://t.co/…" ,French resistance ,100 ,NaN ,47.281 ,4.999
2017-05-06 18:11:04 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Rowdy ,6620 ,NaN ,47.281 ,4.999
2017-05-06 18:08:35 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Cranestien ,6620 ,NaN ,47.281 ,4.999
2017-05-06 18:00:42 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,AWAFAA ,6620 ,NaN ,47.281 ,4.999
2017-05-06 17:24:07 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,chat heure ,6620 ,NaN ,47.281 ,4.999
2017-05-06 17:16:12 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,konst ,6620 ,NaN ,47.281 ,4.999
2017-05-06 17:10:27 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Joe le Taxi ,6620 ,NaN ,47.281 ,4.999
2017-05-06 16:55:19 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,Larios ,6620 ,NaN ,47.281 ,4.999
2017-05-06 16:46:39 ,"RT @DieuMichet: -Passons au sujet de l'euthanasie 
-JE SUIS POUR L'ETAT NAZI ! 
-L'euthanasie Marine ...
-Ah. Ben contre... #2017LeDebat ht…" ,sophia ,6620 ,NaN ,47.281 ,4.999
