,text,dic_rounded,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin
0,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Nan,2,2,2,0,1,0
1,RT @Floryan_Real: Si il te regarde comme ça t'as tout gagné #2017LeDébat  ,1,2,2,2,0,0,0
2,RT @Perrine1402: En cours j'me sentais inutile au milieu de tout ces gens puis j'me suis rappelée des journalistes du #2017leDebat ça m'a d…,0,2,2,2,0,0,0
3,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Nan,2,2,2,0,1,0
4,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Nan,2,2,2,0,1,0
5,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Nan,2,2,2,0,1,0
6,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Nan,2,2,2,0,1,0
7,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Nan,2,2,2,0,1,0
8,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Nan,2,2,2,0,1,0
9,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Nan,2,2,2,0,1,0
10,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Nan,2,2,2,0,1,0
11,RT @lalay_j: Dimanche soir il y aura 1 gagnant et 66 millions de perdants #RendeznousMélenchon #2017LeDebat,Nan,2,2,2,1,1,1
12,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Nan,2,2,2,0,1,0
13,"RT @Liamapi: Le Pen ""ne choisit pas les journalistes"" mais
Interdit @Qofficiel @mediapart
Interdit @ACCoudray
Fait suspendre @AudreyPulvar…",Nan,2,2,2,1,0,0
14,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Nan,2,2,2,0,1,0
15,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Nan,2,2,2,0,1,0
16,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Nan,2,2,2,0,1,0
17,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Nan,2,2,2,0,1,0
18,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Nan,2,2,2,0,1,0
19,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Nan,2,2,2,0,1,0
20,"RT @MelchiorLyon: Message reçu à l'instant d'un ami qui avait voté pour Marine Le Pen au 1er tour. Tout est dit.

#2017LeDebat ",Nan,2,2,2,1,1,1
21,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Nan,2,2,2,0,1,0
22,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Nan,2,2,2,0,1,0
23,"RT @_antisigma: ""CETTE FOIS FINISSONS-EN KAIBA !"" #2017LeDebat ",Nan,2,2,1,1,1,1
