,text,dic_rounded,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin
0,RT @Corse_Matin: #2017LeDebat Quand tu ramène ta poudre de perlimpimpin à la Présidentielles ,Nan,2,2,2,1,1,1
1,RT @Corse_Matin: #2017LeDebat Quand tu ramène ta poudre de perlimpimpin à la Présidentielles ,Nan,2,2,2,1,1,1
2,RT @Corse_Matin: #2017LeDebat Quand tu ramène ta poudre de perlimpimpin à la Présidentielles ,Nan,2,2,2,1,1,1
3,"RT @Corse_Matin: #2017LeDebat Quand t'as échappé à ce second tour et que tu regardes le débat au village , pépouze devant la TV  ",0,2,2,2,1,1,1
4,"RT @CHRISTINA2A12: C bien ce que je pensais en regardant #2017LeDebat :
 #Macreux avait tout de l'élève qui attendait les réponses de sa pr… ",Nan,2,2,2,1,1,1
5,"C bien ce que je pensais en regardant #2017LeDebat :
 #Macreux avait tout de l'élève qui attendait les réponses de…  ",Nan,2,2,2,1,1,1
6,RT @iSleex_: qd elle te regarde comme ça t'as tout gagné #2017LeDebat ,1,2,2,2,1,0,0
7,"RT @dounss_nia: @GRADIDUR quand il s'ennuie il prend des hélicos ,il Va voir en didi la #LDC , moi quand je m'ennuie je snap Marine LEPEN 😂😅#… ",Nan,2,2,2,1,1,0
8,RT @iSleex_: #2017LeDébat ,Nan,2,2,2,0,0,1
9,RT @iSleex_: qd elle te regarde comme ça t'as tout gagné #2017LeDebat ,1,2,2,2,1,0,0
10,RT @iSleex_: #2017LeDébat ,Nan,2,2,2,0,0,1
11,@UPR_Asselineau @UPR_Officiel #Asselineau #2017LeDebat #Presidentielle2017 L'erreur de François Asselineau ,Nan,2,2,2,0,0,1
12,Zoom infos l’essentiel de l’actualités est en ligne!   #2017ledebat ,0,2,2,2,0,0,1
13,RT @joritz_larraza: Jean Lassalle aurait été tellement plus classe que ces marauds pleins d'écus! Béarn is coming!  #2017LeDebat ,1,2,2,2,0,0,0
14,RT @iSleex_: #2017LeDébat ,Nan,2,2,2,0,0,1
15,"RT @MassimuPoli: Tweet le plus drôle de l'entre deux tours , fin du game. #2017LeDebat  ",1,2,2,2,0,1,1
16,Zoom infos l’essentiel de l’actualités est en ligne!   #abonnés #2017ledebat ,0,2,2,2,0,0,1
17,RT @iSleex_: #2017LeDébat ,Nan,2,2,2,0,0,1
18,RT @Corse_Matin: #2017LeDebat Quand tu ramène ta poudre de perlimpimpin à la Présidentielles ,Nan,2,2,2,1,1,1
19,"RT @Corse_Matin: #2017LeDebat Quand t'as échappé à ce second tour et que tu regardes le débat au village , pépouze devant la TV  ",0,2,2,2,1,1,1
20,RT @iSleex_: qd elle te regarde comme ça t'as tout gagné #2017LeDebat ,1,2,2,2,1,0,0
21,"RT @dounss_nia: @GRADIDUR quand il s'ennuie il prend des hélicos ,il Va voir en didi la #LDC , moi quand je m'ennuie je snap Marine LEPEN 😂😅#… ",Nan,2,2,2,1,1,0
22,RT @iSleex_: #2017LeDebat ,Nan,2,2,2,0,0,1
23,RT @Corse_Matin: #2017LeDebat Quand tu ramène ta poudre de perlimpimpin à la Présidentielles ,Nan,2,2,2,1,1,1
