,text,dic_rounded,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin
0,"RT @MardiMondain: Qui soutenez-vous pour le 2nd tour? 🇫🇷
Lançons le GRAND sondage citoyen!
1•Votez 
2•Retweetez 
#2017LeDebat   
#ElectionP… ",0,2,2,2,0,0,0
1,"RT @bchameroy: Je regarde #2017LeDebat en HD , c'est dingue on voit vachement bien les détails !  ",1,2,2,2,1,1,1
2,RT @pandisama_: CEST DE LA POUDRE DE PERLIMPIMPIMMMMMMM SALOOOOOPEEEEEEEE #2017LeDebat ,Nan,2,2,2,0,0,0
3,RT @EMacron_2017: [#JeVoteMacron 🇫🇷 #2017LeDébat] E. #Macron le plus convaincant pour 63% des téléspectateurs ! 👏✌💪 ,Nan,2,2,1,0,1,1
4,"RT @lobs: #2017LeDebat , 23h18 , on a perdu Marine le Pen :    ",0,2,2,2,0,1,0
5,RT @deleteitugly: Meilleur moment du débat #2017LeDebat ,Nan,2,2,1,1,1,1
6,"RT @NicolasKanaan: Je suis sûr que Macron a parié 10000€ avec un pote qu'il devait placer ""Poudre de perlinpinpin"" dans une phrase

#LeGran… ",1,2,2,2,0,0,0
7,"RT @Neacko83: En 2002 , Chirac disait : ""on ne débat pas avec l'extreme droite"".
15 ans après , en voyant #LePen , on comprend mieux pourquoi.… ",1,2,2,2,1,0,1
8,RT @Alextrxm: les journalistes quand ils essayent d'intervenir mais qu'ils se font couper la parole  #2017LeDebat ,Nan,2,2,2,0,1,0
9,"RT @auroreberge: Fierté immense de soutenir Emmanuel Macron d'autant plus grande après #2017LeDebat ! 
Remettons la France en marche ! 
#Je… ",1,2,2,2,0,0,0
10,RT @AudeLucet: Est-ce que les infirmier-e-s de l'unité psychiatrie pourraient venir chercher la dame blonde qui squatte à la télé svp ? #20… ,1,2,2,2,0,1,0
11,RT @TeamMacron2017: Sans appel #2017leDebat #JeVoteMacron ,Nan,2,2,2,0,0,0
12,RT @lemondefr: Deux heures trente d’émission et l’impression d’avoir davantage assisté à un match de boxe qu’à un débat de présidentielle..… ,Nan,2,2,2,0,1,1
13,RT @Freezze: RT si t'as rien compris. #2017LeDebat ,0,2,2,2,0,1,0
14,RT @deleteitugly: Meilleur moment du débat #2017LeDebat ,Nan,2,2,1,1,1,1
15,RT @Freezze: RT si t'as rien compris. #2017LeDebat ,0,2,2,2,0,1,0
16,"RT @topito_com: ""Madame Le Pen , votre avis sur les impôts ? 
- NON MAIS C'EST LA FAUTE A MACRON SI LES IMPÔTS Y SONT ÉLEVÉS""#2017LeDebat ",0,2,2,2,0,0,0
17,RT @Sylvqin: T'as pas besoin de parler de ton programme si t'insultes l'autre candidat pendant 3h #2017LeDébat ,Nan,2,2,2,0,1,0
18,RT @hugogelin: Le Pen parle de Macron. Macron parle de la France. #2017LeDebat ,Nan,0,2,0,0,0,0
19,RT @tayebtounsi: On parlera d'écologie avant minuit ? #2017ledebat #RendezNousMélenchon ,Nan,2,2,0,0,1,0
20,RT @FabAngotti: Images exclusives du retour d'Emmanuel Macron dans sa loge après le débat #2017LeDebat ,Nan,2,2,2,0,1,0
21,"RT @NormanDesVideos: J'ai l'impression que vous vous énervez , non c'est vous qui vous énervez , non c'est vous qui vous énervez , non c'est v… ",1,2,0,0,0,0,0
22,"RT @EmmanuelMacron: Madame Le Pen , la France mérite mieux que vous. #2017LeDébat ",1,1,2,1,1,1,1
23,"RT @EmmanuelMacron: Madame Le Pen , la France mérite mieux que vous. #2017LeDébat ",1,1,2,1,1,1,1
24,"RT @NormanDesVideos: J'ai l'impression que vous vous énervez , non c'est vous qui vous énervez , non c'est vous qui vous énervez , non c'est v… ",1,2,0,0,0,0,0
25,"RT @EmmanuelMacron: Je respecte vos électeurs , j'entends leur colère , mais vous la manipulez. #2017LeDébat ",0,2,2,2,0,0,1
26,RT @EmmanuelMacron: Le pays vous importe peu. Vous n'avez pas de projet pour lui sinon celui qui consiste à vivre de la peur et des mensong… ,0,0,2,0,0,1,0
