,text,dic_rounded,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin
0,RT @Dekrypt_Off: La meilleure image du #2017LeDebat ,Nan,1,2,1,1,0,1
1,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
2,"RT @Maririek14: Lepen la grande illusionniste .. aucun programme . ,elle n'a rien dit sauf un tissu de mensonge et de haine #2017LeDébat #ma… ",0,2,2,2,0,0,0
3,RT @Dekrypt_Off: La meilleure image du #2017LeDebat ,Nan,1,2,1,1,0,1
4,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
5,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
6,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
7,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
8,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
9,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
10,RT @Dekrypt_Off: La meilleure image du #2017LeDebat ,Nan,1,2,1,1,0,1
11,RT @Dekrypt_Off: La meilleure image du #2017LeDebat ,Nan,1,2,1,1,0,1
12,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
13,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
14,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
15,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
16,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
17,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
18,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
19,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
20,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
21,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
22,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
23,RT @Dekrypt_Off: La meilleure image du #2017LeDebat ,Nan,1,2,1,1,0,1
24,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
25,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
26,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
27,RT @Dekrypt_Off: La meilleure image du #2017LeDebat ,Nan,1,2,1,1,0,1
28,RT @Dekrypt_Off: La meilleure image du #2017LeDebat ,Nan,1,2,1,1,0,1
