time,text,user,rts,place,lon,lat,dic,dic_rounded
2017-05-07 10:42:29,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Florian 🇪🇺,529,NaN,45447,4385,0.0,Nan
2017-05-07 10:37:38,RT @Floryan_Real: Si il te regarde comme ça t'as tout gagné #2017LeDébat  ,luckblvck,713,NaN,45447,4385,0.3333333333333333,1
2017-05-07 10:37:06,RT @Perrine1402: En cours j'me sentais inutile au milieu de tout ces gens puis j'me suis rappelée des journalistes du #2017leDebat ça m'a d…,Nao 👸🏽✨,122,NaN,45447,4385,-1.0,0
2017-05-07 10:36:20,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,stargirl,529,NaN,45447,4385,0.0,Nan
2017-05-07 10:34:05,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,HANSI ZOE,529,NaN,45447,4385,0.0,Nan
2017-05-07 10:33:26,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Quentin,529,NaN,45447,4385,0.0,Nan
2017-05-07 10:22:17,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Inari 🐺,529,NaN,45447,4385,0.0,Nan
2017-05-07 10:19:56,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Tip',529,NaN,45447,4385,0.0,Nan
2017-05-07 10:14:30,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,❤,529,NaN,45447,4385,0.0,Nan
2017-05-07 10:12:42,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Sid V,529,NaN,45447,4385,0.0,Nan
2017-05-07 10:12:18,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Indyª,529,NaN,45447,4385,0.0,Nan
2017-05-07 10:11:58,RT @lalay_j: Dimanche soir il y aura 1 gagnant et 66 millions de perdants #RendeznousMélenchon #2017LeDebat,loudpack φ,43,NaN,45447,4385,0.0,Nan
2017-05-07 10:06:29,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Mademoiseℓℓe,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:57:02,"RT @Liamapi: Le Pen ""ne choisit pas les journalistes"" mais
Interdit @Qofficiel @mediapart
Interdit @ACCoudray
Fait suspendre @AudreyPulvar…",Trysh,654,NaN,45447,4385,0.0,Nan
2017-05-07 09:56:48,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Senseï,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:54:18,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,✨🕊🌌,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:51:57,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,axou,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:51:05,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,greg,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:50:33,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Ton Meilleur Ami Gay,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:46:16,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,עזראל‎‎,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:45:27,"RT @MelchiorLyon: Message reçu à l'instant d'un ami qui avait voté pour Marine Le Pen au 1er tour. Tout est dit.

#2017LeDebat ",Trysh,1884,NaN,45447,4385,0.0,Nan
2017-05-07 09:45:00,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Flower girl 🌼,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:37:40,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Uub,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:36:55,"RT @_antisigma: ""CETTE FOIS FINISSONS-EN KAIBA !"" #2017LeDebat ",Lizzy_OP,2875,NaN,45447,4385,0.0,Nan
2017-05-07 09:34:13,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,the V,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:31:30,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,☀️Jerebou☀️,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:30:21,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,~Béeeeee🇫🇷,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:28:59,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,brume rose,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:24:06,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Mathilda,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:23:40,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Léonore 💫,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:20:52,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,🔮,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:15:22,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,marie présidente,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:11:25,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,~Pierre&Clara~ ♡,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:09:59,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Calvin.exe,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:09:19,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,léloche,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:08:38,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,TEAM FREE WILL,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:08:18,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,cam!!,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:06:31,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Naah,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:06:12,RT @Perrine1402: En cours j'me sentais inutile au milieu de tout ces gens puis j'me suis rappelée des journalistes du #2017leDebat ça m'a d…,maliha,122,NaN,45447,4385,-1.0,0
2017-05-07 09:04:43,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Elizabeth Bennet,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:03:27,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,/,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:01:55,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Elo ❄️,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:01:24,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,ju,529,NaN,45447,4385,0.0,Nan
2017-05-07 09:00:07,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,leo's birthday,529,NaN,45447,4385,0.0,Nan
2017-05-07 08:59:59,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,macarena,529,NaN,45447,4385,0.0,Nan
2017-05-07 08:59:28,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,☀ sunlight ☀,529,NaN,45447,4385,0.0,Nan
2017-05-07 08:58:50,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,PRISE-NOU ₪,529,NaN,45447,4385,0.0,Nan
2017-05-07 08:54:47,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Hakim,529,NaN,45447,4385,0.0,Nan
2017-05-07 08:54:34,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,24 cosmonautes ⚯͛,529,NaN,45447,4385,0.0,Nan
2017-05-07 08:53:35,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,brocciu banner,529,NaN,45447,4385,0.0,Nan
2017-05-07 08:51:58,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Anaïs,529,NaN,45447,4385,0.0,Nan
2017-05-07 08:50:44,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,im dtf,529,NaN,45447,4385,0.0,Nan
2017-05-07 08:50:26,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Chab,529,NaN,45447,4385,0.0,Nan
2017-05-07 08:50:17,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,MØ,529,NaN,45447,4385,0.0,Nan
2017-05-07 08:45:28,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,eïa🐉,529,NaN,45447,4385,0.0,Nan
2017-05-07 08:43:23,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,MAUVAIS KARMA,529,NaN,45447,4385,0.0,Nan
2017-05-07 08:36:30,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Sombr3,529,NaN,45447,4385,0.0,Nan
2017-05-07 08:36:08,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Julie🌹,529,NaN,45447,4385,0.0,Nan
2017-05-07 08:13:30,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,The pretender,529,NaN,45447,4385,0.0,Nan
2017-05-07 07:56:53,"RT @Bernard80007501: #Macron n'a pas désavoué l'UOIF. La prédiction de Houellebecq va se réaliser : avec Macron, c'est la soumission
#GGRMC…",berbere,165,NaN,45447,4385,1.0,1
2017-05-07 07:56:10,RT @Perrine1402: En cours j'me sentais inutile au milieu de tout ces gens puis j'me suis rappelée des journalistes du #2017leDebat ça m'a d…,French resistance,122,NaN,45447,4385,-1.0,0
2017-05-07 07:45:13,"RT @_antisigma: ""CETTE FOIS FINISSONS-EN KAIBA !"" #2017LeDebat ",les pâtes c'est bon,2875,NaN,45447,4385,0.0,Nan
2017-05-07 07:45:03,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,ophélove,529,NaN,45447,4385,0.0,Nan
2017-05-07 07:34:52,"RT @JohnAmor95: #2017LeDebat #GrandDebat #debatpresidentiel #debatpresidentiel #Macron #StopMacron ""What are your program points?"" ",Gil,1,NaN,45447,4385,0.0,Nan
2017-05-07 07:33:01,RT @JohnAmor95: #2017LeDebat #GrandDebat #debatpresidentiel #debatpresidentiel #Macron #StopMacron  Same Ol' Same Ol'  ,Gil,3,NaN,45447,4385,0.0,Nan
2017-05-07 07:27:38,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Floow,529,NaN,45447,4385,0.0,Nan
2017-05-07 07:15:47,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Unlikely 💡,529,NaN,45447,4385,0.0,Nan
2017-05-07 07:06:46,RT @marinelbars: j'arrive pas à savoir si je suis en train de regarder #2017LeDebat ou une embrouilles sur #LesAnges9,Tess,464,NaN,45447,4385,-1.0,0
2017-05-07 06:59:41,"RT @Gros_Romain: Bon, faut encore ressortir ce schéma... #2017leDebat #LeGrandDebat #debatpresidentiel ",Karim,17,NaN,45447,4385,0.0,Nan
2017-05-07 06:46:14,RT @greg69150: Marine a revu le débat en replay. Elle va voter #EmmanuelMacron dimanche  #2017LeDebat,isabelle fiquetviala,12,NaN,45447,4385,0.0,Nan
2017-05-07 06:31:44,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,typh🌹,529,NaN,45447,4385,0.0,Nan
2017-05-07 05:34:45,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,croissant,529,NaN,45447,4385,0.0,Nan
2017-05-07 02:55:49,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Yann,529,NaN,45447,4385,0.0,Nan
2017-05-07 02:04:39,"RT @_antisigma: ""CETTE FOIS FINISSONS-EN KAIBA !"" #2017LeDebat ",αxel,2875,NaN,45447,4385,0.0,Nan
2017-05-07 01:19:28,RT @Perrine1402: En cours j'me sentais inutile au milieu de tout ces gens puis j'me suis rappelée des journalistes du #2017leDebat ça m'a d…,Léanne RDLPH,122,NaN,45447,4385,-1.0,0
2017-05-07 01:05:48,RT @Perrine1402: En cours j'me sentais inutile au milieu de tout ces gens puis j'me suis rappelée des journalistes du #2017leDebat ça m'a d…,Eva Mardon ❣,122,NaN,45447,4385,-1.0,0
2017-05-07 01:04:06,RT @Perrine1402: En cours j'me sentais inutile au milieu de tout ces gens puis j'me suis rappelée des journalistes du #2017leDebat ça m'a d…,Shawn,122,NaN,45447,4385,-1.0,0
2017-05-07 00:29:19,"RT @MelchiorLyon: Message reçu à l'instant d'un ami qui avait voté pour Marine Le Pen au 1er tour. Tout est dit.

#2017LeDebat ",Clélia,1884,NaN,45447,4385,0.0,Nan
2017-05-07 00:14:42,RT @Perrine1402: En cours j'me sentais inutile au milieu de tout ces gens puis j'me suis rappelée des journalistes du #2017leDebat ça m'a d…,KBA,122,NaN,45447,4385,-1.0,0
2017-05-07 00:13:29,"RT @_antisigma: ""CETTE FOIS FINISSONS-EN KAIBA !"" #2017LeDebat ",Jules,2875,NaN,45447,4385,0.0,Nan
2017-05-06 23:54:43,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,LE PEN TU BOUGES,529,NaN,45447,4385,0.0,Nan
2017-05-06 23:50:07,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,ทิโบล์ท,529,NaN,45447,4385,0.0,Nan
2017-05-06 23:38:15,"RT @_antisigma: ""CETTE FOIS FINISSONS-EN KAIBA !"" #2017LeDebat ",Zoro732,2875,NaN,45447,4385,0.0,Nan
2017-05-06 23:18:09,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,squats area,529,NaN,45447,4385,0.0,Nan
2017-05-06 23:14:27,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Pierre,529,NaN,45447,4385,0.0,Nan
2017-05-06 23:08:08,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,weydda,529,NaN,45447,4385,0.0,Nan
2017-05-06 22:53:10,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,.,529,NaN,45447,4385,0.0,Nan
2017-05-06 22:47:08,RT @AgnesThiollier: Il existe 37 régimes de retraite de base = ingérable @EmmanuelMacron #2017LeDebat #JeVoteMacron #MacronPresident,Ninou Michel,1,NaN,45447,4385,-1.0,0
2017-05-06 22:38:57,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,lemon incest.,529,NaN,45447,4385,0.0,Nan
2017-05-06 22:37:38,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,529,NaN,45447,4385,0.0,Nan
2017-05-06 22:37:23,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,ℕygel ℤabala,529,NaN,45447,4385,0.0,Nan
2017-05-06 22:36:45,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,mimi geignarde,529,NaN,45447,4385,0.0,Nan
2017-05-06 22:30:17,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,val☇,529,NaN,45447,4385,0.0,Nan
2017-05-06 22:29:27,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,golden baby,529,NaN,45447,4385,0.0,Nan
2017-05-06 22:28:57,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,TwinkyWinky2022,529,NaN,45447,4385,0.0,Nan
2017-05-06 22:24:45,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,edouard le pd,529,NaN,45447,4385,0.0,Nan
2017-05-06 22:23:34,"le grand jour est arrivé,macron et ses emails,le gouvernement menace d'e...   #2017LeDebat #Macron #FacebookGate",Louis Perrez,0,NaN,45447,4385,0.0,Nan
2017-05-06 22:23:31,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,😺 Patoune 😺,529,NaN,45447,4385,0.0,Nan
2017-05-06 22:17:21,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Blue skies forever,529,NaN,45447,4385,0.0,Nan
2017-05-06 22:15:55,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,⠨⠍⠁⠗⠞⠊⠝ △⃒⃘,529,NaN,45447,4385,0.0,Nan
2017-05-06 22:15:08,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Flo,529,NaN,45447,4385,0.0,Nan
2017-05-06 22:14:26,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,► ll,529,NaN,45447,4385,0.0,Nan
2017-05-06 22:13:28,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,Jofraiche,529,NaN,45447,4385,0.0,Nan
2017-05-06 22:12:47,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,un nuage,529,NaN,45447,4385,0.0,Nan
2017-05-06 22:11:31,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,requiem,529,NaN,45447,4385,0.0,Nan
2017-05-06 22:09:55,RT @Floryan_Real: Si il te regarde comme ça t'as tout gagné #2017LeDébat  ,It's me Mario,713,NaN,45447,4385,0.3333333333333333,1
