time ,text ,user ,rts ,place ,lon ,lat,dic,dic_rounded
2017-05-05 21:59:34 ,#MacronLeaks #MacronGate l'agence Reuters confirme #Macron   via @Reuters #2017LeDebat #MediapartLive #Presidentielle ,Tony Boutemeur φ ,14,"Pamproux , France ",45.7087 ,0.6269,0.0,Nan
2017-05-05 21:35:25 ,"#MacronLeaks @wikileaks révèle 9Gb de documents , email , photos... sur #Macron 😂 #SansMoiLe7Mai #nilepennimacron…  ",Tony Boutemeur φ ,0,"Pamproux , France ",45.7087 ,0.6269,-1.0,0
2017-05-05 21:16:42 ,  via @youtube#2017LeDebat ,Baz Sager ,0,NaN ,45.7087 ,0.6269,0.0,Nan
2017-05-05 20:18:39 ,#frontrepublicain ou arrangements? Les vieilles combines ont encore de beaux jours. #SansMoiLe7Mai #JamaisMacron… ,Tony Boutemeur φ ,0,"Pamproux , France ",45.7087 ,0.6269,0.0,Nan
2017-05-05 16:41:15 ,Courage pour le choix de notre bourreau dimanche 😂 #SansMoiLe7Mai #nilepennimacron #LeGrandDebat… ,Tony Boutemeur φ ,7,"Pamproux , France ",45.7087 ,0.6269,0.0,Nan
2017-05-05 16:38:11 ,La CGT va t'elle s'abstenir? #SansMoiLe7Mai #insoumis #nilepennimacron #Presidentielles2017 #LeGrandDebat… ,Tony Boutemeur φ ,6,"Pamproux , France ",45.7087 ,0.6269,-1.0,0
2017-05-05 15:45:51 ,Des preuves du #bayrougate... #SansMoiLe7Mai #nilepennimacron #2017LeDebat #JamaisMacron #jamaislepen… ,Tony Boutemeur φ ,2,"Pamproux , France ",45.7087 ,0.6269,0.0,Nan
2017-05-05 10:49:01 ,"RT @LucssOFFICIEL: C'est d'un ridicule ce débat. Personne s'écoute , Personne. T'as 2 lions qui rugissent et 2 canard qui comptent les point… ",Kev & Gad 5.11.16 ,80,NaN ,45.7087 ,0.6269,-1.0,0
2017-05-05 08:30:46 ,"RT @BIDUDessinateur: La Tour Eiffel sera illuminée demain , aux couleurs de l'intelligence , disparue tragiquement pendant ce débat #2017LeDé… ",Mohamed Nour.D ,55,NaN ,45.7087 ,0.6269,-1.0,0
2017-05-05 07:32:53 ,"RT @BIDUDessinateur: La Tour Eiffel sera illuminée demain , aux couleurs de l'intelligence , disparue tragiquement pendant ce débat #2017LeDé… ",rene le parisien PSG ,55,NaN ,45.7087 ,0.6269,-1.0,0
2017-05-05 06:21:35 ,"RT @BIDUDessinateur: La Tour Eiffel sera illuminée demain , aux couleurs de l'intelligence , disparue tragiquement pendant ce débat #2017LeDé… ",Black Arrow ,55,NaN ,45.7087 ,0.6269,-1.0,0
2017-05-05 06:11:10 ,"RT @BIDUDessinateur: La Tour Eiffel sera illuminée demain , aux couleurs de l'intelligence , disparue tragiquement pendant ce débat #2017LeDé… ",mhB ,55,NaN ,45.7087 ,0.6269,-1.0,0
2017-05-05 05:31:32 ,"RT @BIDUDessinateur: La Tour Eiffel sera illuminée demain , aux couleurs de l'intelligence , disparue tragiquement pendant ce débat #2017LeDé… ",a shadow ,55,NaN ,45.7087 ,0.6269,-1.0,0
2017-05-04 23:00:42 ,"RT @teleux: Et voilà , 19 intox de Marine Le Pen pendant #2017LeDebat    by #Eric_vds via @c0nvey  ",MaryEly ,1,NaN ,45.7087 ,0.6269,0.0,Nan
2017-05-04 22:43:41 ,"Et voilà , 19 intox de Marine Le Pen pendant #2017LeDebat    by #Eric_vds via @c0nvey  ",Nicolas de Chateleux ,1,NaN ,45.7087 ,0.6269,0.0,Nan
2017-05-04 19:37:03 ,"RT @_blz_y: @MBolotny On fait un jeu à boire ?
Quand Marine le Pen fait une proposition concrète , on boit. 
Normalement , on rentre tous en… ",SAMURBIA ,3,NaN ,45.7087 ,0.6269,0.0,Nan
2017-05-04 18:13:36 ,Le débat d'hier me conforte dans mon choix. #2017LeDebat #ElectionPresidentielle2017 ,A Boy* ,0,NaN ,45.7087 ,0.6269,0.0,Nan
2017-05-04 17:40:40 ,"RT @JFCros: Marine Le Pen ""a manqué de hauteur"" , selon Jean-Marie Le Pen... Et Dieu sait s'il a l'oeil !!! #LePen #2017LeDébat  ",Lionel COSTES ,5,NaN ,45.7087 ,0.6269,-1.0,0
2017-05-04 17:27:52 ,"RT @JFCros: Marine Le Pen ""a manqué de hauteur"" , selon Jean-Marie Le Pen... Et Dieu sait s'il a l'oeil !!! #LePen #2017LeDébat  ",Thomas ,5,NaN ,45.7087 ,0.6269,-1.0,0
2017-05-04 17:26:40 ,"RT @LucssOFFICIEL: C'est d'un ridicule ce débat. Personne s'écoute , Personne. T'as 2 lions qui rugissent et 2 canard qui comptent les point… ",Crayon Owl ,80,NaN ,45.7087 ,0.6269,-1.0,0
2017-05-04 17:08:07 ,"après chacun son d , mais venez pas pleurer que vous payer pour les profiteurs du système que met en place la gauche #2017LeDebat ",2 years ,0,"Mansac , France ",45.7087 ,0.6269,-1.0,0
2017-05-04 17:07:41 ,"moi je vois juste une France qui veut rempiler pour 5 ans de gauche , sympa faudra pas se plaindre encore 😊 #2017LeDebat ",2 years ,1,"Mansac , France ",45.7087 ,0.6269,0.0,Nan
2017-05-04 16:44:56 ,"RT @JFCros: Marine Le Pen ""a manqué de hauteur"" , selon Jean-Marie Le Pen... Et Dieu sait s'il a l'oeil !!! #LePen #2017LeDébat  ",Tiger ,5,NaN ,45.7087 ,0.6269,-1.0,0
2017-05-04 16:42:15 ,La pitoyable défense par le mensonge de @MLP_officiel au #GrandDebat #2017LeDebat ,Guillaume Ⓕ ,0,"Bergerac , France ",45.7087 ,0.6269,-1.0,0
2017-05-04 16:41:21 ,"RT @JFCros: Marine Le Pen ""a manqué de hauteur"" , selon Jean-Marie Le Pen... Et Dieu sait s'il a l'oeil !!! #LePen #2017LeDébat  ",Morgan ,5,NaN ,45.7087 ,0.6269,-1.0,0
2017-05-04 16:40:53 ,"RT @JFCros: Marine Le Pen ""a manqué de hauteur"" , selon Jean-Marie Le Pen... Et Dieu sait s'il a l'oeil !!! #LePen #2017LeDébat  ",Romain dlb ,5,NaN ,45.7087 ,0.6269,-1.0,0
2017-05-04 16:30:12 ,"Marine Le Pen ""a manqué de hauteur"" , selon Jean-Marie Le Pen... Et Dieu sait s'il a l'oeil !!! #LePen #2017LeDébat  ",Jean-François Cros ,5,NaN ,45.7087 ,0.6269,-1.0,0
2017-05-04 16:28:28 ,RT @olivedac: La carte blanche de MLP : descendre le programme de Macron... et dire qu'il y a des gens qui vont voter pour le vide sidérale… ,Ingrid Dacquignie ,2,NaN ,45.7087 ,0.6269,-1.0,0
2017-05-04 16:19:07 ,"RT @BIDUDessinateur: La Tour Eiffel sera illuminée demain , aux couleurs de l'intelligence , disparue tragiquement pendant ce débat #2017LeDé… ",pierre yves ,55,NaN ,45.7087 ,0.6269,-1.0,0
2017-05-04 15:47:47 ,"RT @LucssOFFICIEL: C'est d'un ridicule ce débat. Personne s'écoute , Personne. T'as 2 lions qui rugissent et 2 canard qui comptent les point… ",♫ Marie ∞ ,80,NaN ,45.7087 ,0.6269,-1.0,0
2017-05-04 15:40:15 ,C moi ou les médias essayent de manipuler les #legislatives2017 à présent? #SansMoiLe7Mai #2017LeDebat #insoumis ,Tony Boutemeur φ ,3,"Pamproux , France ",45.7087 ,0.6269,-1.0,0
2017-05-04 15:23:23 ,#2017LeDebat Les électeurs de #Macron  ,Tony Boutemeur φ ,4,"Pamproux , France ",45.7087 ,0.6269,0.0,Nan
2017-05-04 15:02:09 ,#2017LeDebat...mdddrrr. ....je ne voterai pas le pen pour autant... ,christian Caille ,0,NaN ,45.7087 ,0.6269,0.0,Nan
2017-05-04 14:12:49 ,"RT @LucssOFFICIEL: C'est d'un ridicule ce débat. Personne s'écoute , Personne. T'as 2 lions qui rugissent et 2 canard qui comptent les point… ",Sansan🤙🏽 ,80,NaN ,45.7087 ,0.6269,-1.0,0
2017-05-04 14:08:51 ,RT @A_Muharrem87: Poutout il est caché sous la table  #2017LeDebat ,Lieutenant KiGliss ,9,NaN ,45.7087 ,0.6269,0.0,Nan
