time ,text ,user ,rts ,place ,lon ,lat,dic,dic_rounded
2017-05-07 10:09:10 ,RT @FrVerre: Il faut se rappeler que le 1er à parler d'un prétendu compte caché c'est Macron lui-même #2017LeDebat #MacronGate ,fed42Ⓜ ,53,NaN ,43935,6068,0.0,Nan
2017-05-07 10:09:05 ,"RT @david_rachline: ""Marine a mis ce soir M. #Macron face à ses responsabilités : oui , il a eu le soutien de l'UOIF , et c'est scandaleux !""… ",BMA ,275,NaN ,43935,6068,0.0,Nan
2017-05-07 09:59:46 ,"RT @Arielfromparis: "" Moi président de la république , je ré-ouvrirais l'enquête sur la mort de TuPac ! "" 

#2017LeDebat 
#GrandDebat ",🖤 ,3,NaN ,43935,6068,-1.0,0
2017-05-07 09:23:07 ,"RT @PBLVofficiel: / #Mistral Info / Le débat des élections a eu lieu ds #PBLV ! Et le grand gagnant est ... #2017LeDebat #Debat2017

,andree peigne ,2 ,NaN ,43.935 ,6.068
2017-05-07 09:17:01 ,""/ #Mistral Info / Le débat des élections a eu lieu ds #PBLV ! Et le grand gagnant est ... #2017LeDebat #Debat2017

 ",Plus belle la vie ,2,NaN ,43935,6068,1.0,1
2017-05-07 08:08:07 ,"RT @vgoyet: Contrairement à ce que Marine Le Pen raconte , les communes appliquent progressivement la loi de 2005 sur le handicap. #2017LeDé… ",Beaufort ن ,24,NaN ,43935,6068,-1.0,0
2017-05-07 07:32:13 ,"RT @LeNomDeLaRose1: le système Macron c'est comme ton patron ,il t'exploite ,tu le détestes ,mais tu n'as pas le courage de changer d'entrepri… ",Int'l Lgge Services ,119,NaN ,43935,6068,1.0,1
2017-05-07 06:26:01 ,"RT @TeamMarcheurs: ❌ D'après les derniers chiffres le vote blanc favorise largement #Lepen alors stop #BlancMarine 

#Albi #Macron #2017LeD… ",le_beb34 ,204,NaN ,43935,6068,1.0,1
2017-05-07 06:18:50 ,"RT @olivier_cours: @rglucks1 @inescroquable_ Elle perd toute crédibilité ,totalement dépassée sur chaque dossier! Macron se balade ,il démont… ",mas ,11,NaN ,43935,6068,-1.0,0
2017-05-07 05:58:49 ,"RT @CCastaner: ""Pour être Président , il vaut mieux avoir réponse à toutes les questions. #LePen n'avait réponse à rien."" @franceinfo #2017L… ",Kathleen Toussaint ,349,NaN ,43935,6068,-0.3333333333333333,0
2017-05-07 02:59:42 ,"RT @TeamMarcheurs: Contre une charge de kamikaze de #Lepen Nous avons la lucidité de #Macron !
#jevoteMacron #2017LeDebat  ",Rafitamtam ,43,NaN ,43935,6068,-1.0,0
2017-05-07 02:54:03 ,"RT @RenaudMuselier: Choisir le mensonge , le vrai slogan du #FN! #VéritésSurlEurope
#2017LeDebat  #Présidentielle2017  ",DP de la BAROLLIERE. ,10,NaN ,43935,6068,-1.0,0
2017-05-07 02:54:00 ,"RT @RenaudMuselier: Choisir le mensonge , le vrai slogan du #FN ! #VéritésSurlEurope
#2017LeDebat  #Présidentielle2017  ",DP de la BAROLLIERE. ,18,NaN ,43935,6068,-1.0,0
2017-05-07 02:53:57 ,"RT @RenaudMuselier: Choisir le mensonge , le vrai slogan du #FN! #VéritésSurlEurope
#2017LeDebat  #Présidentielle2017 #frontières #Sécurité… ",DP de la BAROLLIERE. ,20,NaN ,43935,6068,-1.0,0
2017-05-07 02:53:54 ,"RT @RenaudMuselier: Choisir le mensonge , le vrai slogan du #FN! #VéritésSurlEurope
#2017LeDebat #Presidentielle2017 #Brexit #Frexit #Europe… ",DP de la BAROLLIERE. ,92,NaN ,43935,6068,-1.0,0
2017-05-07 01:46:17 ,RT @aecLaCiotat: Elle est inépuisable la vague qui nous porte ! @JLMelenchon  #RendezNousMelenchon #2017LeDebat   htt… ,φ Sam Derange ,77,NaN ,43935,6068,-1.0,0
2017-05-06 23:37:49 ,"RT @TeamMarcheurs: ❌ D'après les derniers chiffres le vote blanc favorise largement #Lepen alors stop #BlancMarine 

#Albi #Macron #2017LeD… ",Trust Nobody. ,204,NaN ,43935,6068,1.0,1
2017-05-06 22:08:56 ,RT @Michy13260: Vers quel candidat s'orienterait votre choix suite à ce #GrandDebat ? #2017LeDebat #Presidentielle2017 ,Olivia ,77,NaN ,43935,6068,0.0,Nan
