,text,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,entities,candidate,dic_rounded,media_tri,media_bin,total
0,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",2,2,2,1,1,1,Macron,Macron,Nan,2,1,Neu
1,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",2,2,2,1,1,1,Macron,Macron,Nan,2,1,Neu
2,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",2,2,2,1,1,1,Macron,Macron,Nan,2,1,Neu
3,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",2,2,2,1,1,1,Macron,Macron,Nan,2,1,Neu
4,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",2,2,2,1,1,1,Macron,Macron,Nan,2,1,Neu
5,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",2,2,2,1,1,1,Macron,Macron,Nan,2,1,Neu
6,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",2,2,2,1,1,1,Macron,Macron,Nan,2,1,Neu
7,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",2,2,2,1,1,1,Macron,Macron,Nan,2,1,Neu
8,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,None,None,Nan,2,0,Neu
9,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",2,2,2,1,1,1,Macron,Macron,Nan,2,1,Neu
10,"RT @annanablogueuse: Les gens qui veulent s'abstenir ou qui veulent voter Le Pen regardez le débat , ressaisissez vous et allez voter Macron… ",2,2,2,1,1,1,Macron,Macron,Nan,2,1,Neu
11,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,None,None,Nan,2,0,Neu
12,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,None,None,Nan,2,0,Neu
13,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,None,None,Nan,2,0,Neu
14,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,None,None,Nan,2,0,Neu
15,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,None,None,Nan,2,0,Neu
16,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,None,None,Nan,2,0,Neu
17,#JeVote #Avote #2017LeDebat #Presidentielle2017 #DevoirDeCitoyen ,2,2,2,0,0,1,None,None,Nan,2,0,Neu
18,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,None,None,Nan,2,0,Neu
19,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,None,None,Nan,2,0,Neu
20,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,None,None,Nan,2,0,Neu
21,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,None,None,Nan,2,0,Neu
22,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,None,None,Nan,2,0,Neu
23,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,None,None,Nan,2,0,Neu
24,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,None,None,Nan,2,0,Neu
25,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,None,None,Nan,2,0,Neu
26,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,None,None,Nan,2,0,Neu
27,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,None,None,Nan,2,0,Neu
28,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,None,None,Nan,2,0,Neu
29,RT @pab_lowww: Ta tete en regardant le débat #2017LeDebat ,2,2,2,1,1,0,None,None,Nan,2,1,Neu
