,text,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,dic_rounded,media_tri,media_bin,total
0,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
1,RT @Floryan_Real: Si il te regarde comme ça t'as tout gagné #2017LeDébat  ,2,2,2,0,0,0,1,2,0,-
2,RT @Perrine1402: En cours j'me sentais inutile au milieu de tout ces gens puis j'me suis rappelée des journalistes du #2017leDebat ça m'a d…,2,2,2,0,0,0,0,2,0,0
3,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
4,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
5,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
6,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
7,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
8,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
9,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
10,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
11,RT @lalay_j: Dimanche soir il y aura 1 gagnant et 66 millions de perdants #RendeznousMélenchon #2017LeDebat,2,2,2,1,1,1,Nan,2,1,Neu
12,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
13,"RT @Liamapi: Le Pen ""ne choisit pas les journalistes"" mais
Interdit @Qofficiel @mediapart
Interdit @ACCoudray
Fait suspendre @AudreyPulvar…",2,2,2,1,0,0,Nan,2,0,Neu
14,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
15,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
16,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
17,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
18,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
19,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
20,"RT @MelchiorLyon: Message reçu à l'instant d'un ami qui avait voté pour Marine Le Pen au 1er tour. Tout est dit.

#2017LeDebat ",2,2,2,1,1,1,Nan,2,1,Neu
21,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
22,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
23,"RT @_antisigma: ""CETTE FOIS FINISSONS-EN KAIBA !"" #2017LeDebat ",2,2,1,1,1,1,Nan,2,1,Neu
24,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
25,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
26,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
27,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
28,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
29,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
30,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
31,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
32,RT @fille_motivee: j'ai mis le calendrier à jour #2017LeDebat #LeGrandDebat  ,2,2,2,0,1,0,Nan,2,0,Neu
