,text,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,dic_rounded,media_tri,media_bin,total
0,"RT @LNatacha56: ""A chaque délit , il faut une sanction pénale"". Quel humour cette #MarineLePen ! Et si on parlait immunité parlementaire ?… ",2,2,2,0,0,0,1,2,0,-
1,RT @mbed35260: Elle va péter les plombs à la fin... #2017LeDebat ,2,2,2,0,0,0,1,2,0,-
2,"RT @LNatacha56: ""A chaque délit , il faut une sanction pénale"". Quel humour cette #MarineLePen ! Et si on parlait immunité parlementaire ?… ",2,2,2,0,0,0,1,2,0,-
3,RT @vio_bzh: Dupont Aignan ce soir vient de dire au revoir à son futur ex post de 1er ministre #2017LeDebat ,2,2,2,0,0,0,0,2,0,0
4,RT @citoyen56: Ce débat n'était pas au niveau ! Personne ne s'est mis dans la stature de President !#MacronCestNON #2017LeDebat vivement le… ,0,2,2,1,0,0,1,1,0,1
5,"RT @3_l_l3: #Bayrougate #2017ledebat #jevotepour lol en twittant dimanche #RadioLondres on risque 75000€ d'amende , le juge en décidera. Sér… ",2,2,2,1,0,0,0,2,0,0
6,"RT @marouchka_b: Au-delà d idées politiques , on peut louer le sang froid de @EmmanuelMacron face à #MLP. Il peut recevoir les codes nucléai… ",2,2,2,0,1,0,1,2,0,-
7,"RT @3_l_l3: #Bayrougate #2017ledebat #jevotepour lol en twittant dimanche #RadioLondres on risque 75000€ d'amende , le juge en décidera. Sér… ",2,2,2,1,0,0,0,2,0,0
8,"#Bayrougate #2017ledebat #jevotepour lol en twittant dimanche #RadioLondres on risque 75000€ d'amende , le juge en décidera. Sérieusement? 🐖 ",2,2,2,1,1,0,0,2,1,-
9,RT @mbed35260: Elle va péter les plombs à la fin... #2017LeDebat ,2,2,2,0,0,0,1,2,0,-
10,"RT @LNatacha56: ""A chaque délit , il faut une sanction pénale"". Quel humour cette #MarineLePen ! Et si on parlait immunité parlementaire ?… ",2,2,2,0,0,0,1,2,0,-
11,"RT @marouchka_b: Au-delà d idées politiques , on peut louer le sang froid de @EmmanuelMacron face à #MLP. Il peut recevoir les codes nucléai… ",2,2,2,0,1,0,1,2,0,-
12,"RT @marouchka_b: Au-delà d idées politiques , on peut louer le sang froid de @EmmanuelMacron face à #MLP. Il peut recevoir les codes nucléai… ",2,2,2,0,1,0,1,2,0,-
13,RT @mbed35260: Elle va péter les plombs à la fin... #2017LeDebat ,2,2,2,0,0,0,1,2,0,-
