time,text,user,rts,place,lon,lat
2017-05-08 09:06:17,"@bayrou N'oubliez pas, n'oubliez jamais que les votes d'adhésion pour #macron sont minoritaires. Prenez-en la mesure. #Presidentielle2017",Virginie De Gouveia,0,NaN,45.447,4.385
2017-05-08 09:05:06,"RT @Gros_Romain: Je suis mort ! 3,3 millions de français (7%) ont voté pour le programme de #Macron ! #Presidentielle2017 https://t.co/9YIl…",Camille.,2,NaN,45.447,4.385
2017-05-08 09:05:00,RT @MarineLorphelin: Mtnt j'espère que le pays va réellement se remettre en marche...#Presidentielle2017 Que notre président sera à la haut…,Chloé ♡,546,NaN,45.447,4.385
2017-05-08 09:04:59,RT @EmpereurGlory: Rare photo de Florian Philippot en train de boire les larmes de Marine Lepen #Presidentielle2017 https://t.co/puAqU8waSh,Dragon - DC,89,NaN,45.447,4.385
2017-05-08 09:04:27,"Quelle belle victoire que de chemin parcouru ,continuions le rassemblement #EnMarche 
#Présidentielle2017 … https://t.co/vi0SRvng8v",Christophe Boire,0,NaN,45.447,4.385
2017-05-08 09:03:37,"Président d'une France qui vote contre, blanc ou s'abstient, ce n'est pas ce que j'appelle une victoire.… https://t.co/o98qKfZjdp",PERTUE Floriane,0,NaN,45.447,4.385
2017-05-08 09:03:26,RT @BaptG7: Les résultats de l'élection présidentielle révélés en exclusivité.. #Presidentielle2017 #Avoté https://t.co/H526abRSrg,ViZo Vnty,2012,NaN,45.447,4.385
2017-05-08 09:03:25,RT @rmborron: Nous n'irons donc pas en Marche... arrière! #Presidentielle2017 😂,Sandra Rose,3,NaN,45.447,4.385
2017-05-08 09:03:16,RT @BaptG7: Les résultats de l'élection présidentielle révélés en exclusivité.. #Presidentielle2017 #Avoté https://t.co/H526abRSrg,COLETTE,2012,NaN,45.447,4.385
2017-05-08 09:02:52,"RT @lavouteloic: - c par là la sortie ?
- oui, après toi

#Presidentielle2017 https://t.co/saP7SWvT7s",TheGeek-1,1721,NaN,45.447,4.385
2017-05-08 09:02:13,RT @BaptG7: Les résultats de l'élection présidentielle révélés en exclusivité.. #Presidentielle2017 #Avoté https://t.co/H526abRSrg,⚔️Mafia Spartiate🛡,2012,NaN,45.447,4.385
2017-05-08 09:02:01,"RT @Gros_Romain: Je suis mort ! 3,3 millions de français (7%) ont voté pour le programme de #Macron ! #Presidentielle2017 https://t.co/9YIl…",Cecilien Grégoire,2,NaN,45.447,4.385
2017-05-08 09:01:49,RT @BaptG7: Les résultats de l'élection présidentielle révélés en exclusivité.. #Presidentielle2017 #Avoté https://t.co/H526abRSrg,Ju Dou,2012,NaN,45.447,4.385
2017-05-08 09:01:25,"Je suis mort ! 3,3 millions de français (7%) ont voté pour le programme de #Macron ! #Presidentielle2017 https://t.co/9YIlhykQHz",Romain Gros φ 🌿🔻,2,NaN,45.447,4.385
2017-05-08 09:01:22,"RT @Gros_Romain: - 25% d'abstention.

- 9% de votes blancs/nuls.

Et on parle de victoire ""nette"" ! 😂

#Presidentielle2017",Slimane φ 🇫🇷,561,NaN,45.447,4.385
2017-05-08 09:01:16,#Presidentielle2017 Bon j'ai bien aimé le discours de Macron maintenant reste a voir si c'est pas des paroles en l'air,Cobra117,0,NaN,45.447,4.385
