time,text,user,rts,place,lon,lat
2017-05-08 09:01:34,"RT @SylvanaBourand: Y'a quand même plus d'1/3 des votes pour le FN quoi, ça fait peur #Presidentielle2017",k'🍉,3,NaN,47.281,4.999
2017-05-08 08:52:00,Bye ! Bye ! Le Pen ! #Presidentielle2017 https://t.co/zJK4azTgEb,David Fofi,0,NaN,47.281,4.999
2017-05-08 08:50:56,"RT @alexisbllt: - Alors Marine, ton résultat !?
- 

#Presidentielle2017 https://t.co/cWjVIgQdwx",Anissa 🇲🇦,454,NaN,47.281,4.999
2017-05-08 08:40:39,RT @JeremyChevreuil: Une pièce d'histoire dans une enveloppe à #Besançon !!! #Presidentielle2017 https://t.co/B16IVnnOit,BoludoXXL,51,NaN,47.281,4.999
2017-05-08 08:40:27,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",Lucas,36,NaN,47.281,4.999
2017-05-08 08:36:36,RT @JeremyChevreuil: Une pièce d'histoire dans une enveloppe à #Besançon !!! #Presidentielle2017 https://t.co/B16IVnnOit,KlaXon,51,NaN,47.281,4.999
2017-05-08 08:35:59,RT @JeremyChevreuil: Une pièce d'histoire dans une enveloppe à #Besançon !!! #Presidentielle2017 https://t.co/B16IVnnOit,Séléné,51,NaN,47.281,4.999
2017-05-08 08:30:54,RT @JeremyChevreuil: Une pièce d'histoire dans une enveloppe à #Besançon !!! #Presidentielle2017 https://t.co/B16IVnnOit,H Jean Edern,51,NaN,47.281,4.999
2017-05-08 08:29:55,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",Swayx,36,NaN,47.281,4.999
2017-05-08 08:25:56,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",Gauthier Julien,36,NaN,47.281,4.999
2017-05-08 08:25:43,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",Manuel Freitas,36,NaN,47.281,4.999
2017-05-08 08:24:22,RT @JeremyChevreuil: Une pièce d'histoire dans une enveloppe à #Besançon !!! #Presidentielle2017 https://t.co/B16IVnnOit,Aureal,51,NaN,47.281,4.999
2017-05-08 08:23:00,RT @JeremyChevreuil: Une pièce d'histoire dans une enveloppe à #Besançon !!! #Presidentielle2017 https://t.co/B16IVnnOit,Carlos,51,NaN,47.281,4.999
2017-05-08 08:15:42,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",Aline P.,36,NaN,47.281,4.999
2017-05-08 08:09:20,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",Wies Frank,36,NaN,47.281,4.999
2017-05-08 08:08:37,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",cindy,36,NaN,47.281,4.999
2017-05-08 08:06:53,#Presidentielle2017 Le stagiaire de la photocopieuse est devenu PDG en 3 ans.,Planoisien fou,0,NaN,47.281,4.999
2017-05-08 08:06:43,RT @villanueva_to: Pour moi @EmmanuelMacron n'est pas légitime ce n'est qu'un plot pour contrer le FN. #Presidentielle2017,👑The Mr 👑,4,NaN,47.281,4.999
2017-05-08 08:06:09,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",Define,36,NaN,47.281,4.999
2017-05-08 08:04:07,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",Antoine Brégeon,36,NaN,47.281,4.999
2017-05-08 08:02:59,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",Helena,36,NaN,47.281,4.999
2017-05-08 07:56:39,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",Clarice,36,NaN,47.281,4.999
2017-05-08 07:52:04,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",Maryline,36,NaN,47.281,4.999
2017-05-08 07:50:30,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",Aurélie,36,NaN,47.281,4.999
2017-05-08 07:49:11,RT @juchmpd: Je préfère voir ça devant le Louvre. @0Riles #Presidentielle2017 https://t.co/pl79maXF0S,oops,5,NaN,47.281,4.999
2017-05-08 07:49:06,RT @clunytv: #Presidentielle2017 Les résultats du 2e tour à #Cluny en #video https://t.co/R4U7KF5xR4 https://t.co/hWvUHsToOZ,clunisois.fr,0,NaN,47.281,4.999
2017-05-08 07:48:00,"#Presidentielle2017 : toutes les (bonnes) audiences des télés généralistes 
https://t.co/yUOoqDYNyQ",L' Est Républicain,0,NaN,47.281,4.999
2017-05-08 07:46:05,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",Claire,36,NaN,47.281,4.999
2017-05-08 07:44:28,RT @PaulGz_: C'est parti pour une soirée folle de milliers de personnes qui vont tenter de faire des blagues pour percer #Presidentielle2017,Naroka,6,NaN,47.281,4.999
2017-05-08 07:44:01,"RT @alexisbllt: - Alors Marine, ton résultat !?
- 

#Presidentielle2017 https://t.co/cWjVIgQdwx",sympatique,454,NaN,47.281,4.999
2017-05-08 07:43:51,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",samelbت,36,NaN,47.281,4.999
2017-05-08 07:42:33,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",Elvis Champrenaut,36,NaN,47.281,4.999
2017-05-08 07:36:47,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",Pascal Pellerin,36,NaN,47.281,4.999
2017-05-08 07:36:25,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",agathe29,36,NaN,47.281,4.999
2017-05-08 07:36:23,"Un grand 👍🏻 pour l'unité de la presse en France. Le reste se passe de commentaires. #Presidentielle2017 #Honte 

https://t.co/npTR5lUeSg",leo1se7en,0,NaN,47.281,4.999
2017-05-08 07:34:58,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",Ryan,36,NaN,47.281,4.999
2017-05-08 07:33:16,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",Fillon,36,NaN,47.281,4.999
2017-05-08 07:33:12,"#Présidentielle2017 : les dix chiffres à retenir du second tour de l'élection.
https://t.co/IQ1NY8AAs0 https://t.co/zrMtidZEeW",Le Bien Public,0,NaN,47.281,4.999
2017-05-08 07:32:39,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",Fandinger Grimer,36,NaN,47.281,4.999
2017-05-08 07:32:09,"RT @UnMondeRiant: #LePen est écartée, tant mieux. Pas de surprise. Pas de joie. La bataille commence. #Presidentielle2017 #Macron https://t…",Balthamos,7,NaN,47.281,4.999
2017-05-08 07:31:17,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",R. Gaillard  ن ✡ ☾,36,NaN,47.281,4.999
2017-05-08 07:30:45,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",Mill Tweete,36,NaN,47.281,4.999
2017-05-08 07:26:17,"RT @bleubesancon: #Presidentielle2017  sur @bleubesancon en direct @ChristophePerny dit que pour sa candidature aux législatives ""tout est…",Christophe Perny,1,NaN,47.281,4.999
2017-05-08 07:25:30,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",Véronique Le Thiec,36,NaN,47.281,4.999
2017-05-08 07:22:16,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",Sylvaine Borel,36,NaN,47.281,4.999
2017-05-08 07:16:56,#Presidentielle2017 @EmmanuelMacron devance Marine Le Pen en Bourgogne-Franche-Comté https://t.co/ihiXV5m2Xj,France 3 Bourgogne,0,NaN,47.281,4.999
2017-05-08 07:16:52,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",psa,36,NaN,47.281,4.999
2017-05-08 07:12:33,"RT @Lebienpublic: #Présidentielle2017 : les bulletins de vote insolites du second tour.
https://t.co/5kOdry3Vu3 https://t.co/bta9BHSraz",Claire Foussard,36,NaN,47.281,4.999
2017-05-08 07:11:58,RT @villanueva_to: Les 16 18 ans prêt pour le service militaire ? 😏 #Presidentielle2017,gipitou,5,NaN,47.281,4.999
