time,text,user,rts,place,lon,lat
2017-05-08 08:52:22,"RT @BrieucQuil: ""#Macron incarne la réunification du libéralisme, économique et sociétal"" @GB_GBernard #Presidentielle2017 @tvlofficiel",Citadelle †ن,7,NaN,48.202,-2.932
2017-05-08 08:47:48,RT @Defense137: Actualisation du papier d'hier soir avec passage JC Mallet https://t.co/R58NafZLag #Presidentielle2017,Didier Chalumeau,3,NaN,48.202,-2.932
2017-05-08 08:46:40,The latest The maiteoberle Daily! https://t.co/HUBisF8VKu Thanks to @domdelport @alexanmic #kbn #presidentielle2017,maiteoberle,0,NaN,48.202,-2.932
2017-05-08 08:45:26,RT @Defense137: Actualisation du papier d'hier soir avec passage JC Mallet https://t.co/R58NafZLag #Presidentielle2017,DSI magazine,3,NaN,48.202,-2.932
2017-05-08 08:27:10,Quand Mélenchon disais que Marine le pen etait 3 eme de ce second tour Apres les votes blanc Il ne mentais pas..… https://t.co/H8iCWk4UTP,Quentin,0,NaN,48.202,-2.932
2017-05-08 08:25:17,RT @Defense137: Actualisation du papier d'hier soir avec passage JC Mallet https://t.co/R58NafZLag #Presidentielle2017,Bruno DE SAN NICOLAS,3,NaN,48.202,-2.932
2017-05-08 08:13:16,Actualisation du papier d'hier soir avec passage JC Mallet https://t.co/R58NafZLag #Presidentielle2017,Defense 140,3,NaN,48.202,-2.932
2017-05-08 08:11:15,The fight is not over. #Presidentielle2017 #Legislatives2017 https://t.co/0OAqKRdLOA,ScreenJunkie41319,0,NaN,48.202,-2.932
2017-05-08 08:02:54,#Presidentielle2017 @nostalgiefm @NRJhitmusiconly @radiocheriefm @rirechansons @Manudansle69 @cauetofficiel… https://t.co/ZpeXzbKvJE,Gérald Huan,0,NaN,48.202,-2.932
2017-05-08 08:00:04,RT @riosandraa: Dans tout les cas on est dans la merde #presidentielle2017,Gab,1,NaN,48.202,-2.932
2017-05-08 07:58:00,RT @MisterArnauud: Ça ne choque personne là??  l'islamisation de la France est #EnMarche #Presidentielle2017 https://t.co/MMEsRTyfJv,Arnaud🇫🇷,2,NaN,48.202,-2.932
2017-05-08 07:49:36,Non #macron n'a pas 66% d'electeurs qui ont voté pour lui. Système de vote obsolète et plus adapté.… https://t.co/UnHxfuuokY,Boss Bravo,1,"Brittany, France",48.202,-2.932
2017-05-08 07:49:14,#Presidentielle2017 #MacronPresident par défaut,{φ},0,"Matignon, France",48.202,-2.932
2017-05-08 07:46:22,RT @MisterArnauud: Ça ne choque personne là??  l'islamisation de la France est #EnMarche #Presidentielle2017 https://t.co/MMEsRTyfJv,Lolo du 13,2,NaN,48.202,-2.932
2017-05-08 07:33:40,#Présidentielle2017  : Tous les résultats de la Bretagne https://t.co/St068OLGyq… via @LeTelegramme,FILLON_2017 Vannes,0,NaN,48.202,-2.932
2017-05-08 07:25:25,"RT @soizicperrault: Sur mon blog #Presidentielle2017 Je crois à une opposition ouverte, constructive mais vigilante  https://t.co/HNYgu58ihS",FILLON_2017 Vannes,2,NaN,48.202,-2.932
2017-05-08 07:18:05,RT @SoizQuero: #présidentielle2017 un bulletin de Michel Blanc alias Jean-Claude Dusse s'est glissé dans les urnes à #Lamballe #insolite #c…,Sixtine,9,NaN,48.202,-2.932
2017-05-08 07:14:17,RT @Defense137: #Presidentielle2017 dans le 06 https://t.co/xcv67RxIJS,#HappyVote,2,NaN,48.202,-2.932
2017-05-08 06:57:54,RT @MairieDeVannes: Les résultats par bureau du second tour vannetais sont en ligne sur https://t.co/HyDw5HO6w9 #Vannes #Presidentielle2017…,AlRich,2,NaN,48.202,-2.932
2017-05-08 06:24:04,"RT @soizicperrault: Sur mon blog #Presidentielle2017 Je crois à une opposition ouverte, constructive mais vigilante  https://t.co/HNYgu58ihS",LesRepublicains5603,2,NaN,48.202,-2.932
2017-05-08 06:18:23,"Maxime MARAIS, le Journal is out! https://t.co/oAlndxvnPs Stories via @Ben_Mpm @MCCob @_rom_d #presidentielle2017 #présidentielle2017",Maxime ✏ MARAIS,0,NaN,48.202,-2.932
2017-05-08 06:10:50,"RT @aourellguivarch: #Presidentielle2017. En #Bretagne, seulement quatre petites communes ont placé le FN en tête... https://t.co/fVhdSYxP9T",☼AnneBZH ☼,3,NaN,48.202,-2.932
