time,text,user,rts,place,lon,lat
2017-05-08 09:10:11,"RT @LadyFoune: Ok, lundi c'est férié ! Mais, mardi, va falloir rendre l'argent ! #Fillon #LePen #Presidentielle2017",Soeur Foune,26,NaN,42.15,9.083333
2017-05-08 09:05:23,RT @Corse_Matin: La une de @Corse_Matin du lundi 8 mai. #presse #Presidentielle2017 #pqr #louvre #président de la république https://t.co/t…,Nadine HENRY,22,NaN,42.15,9.083333
2017-05-08 09:02:59,"Un ""marcheur"" de la 1ère heure... 🤔 #hollande ?Sait-on jamais qu'ils nous la jouent Poutine-Medvedev… https://t.co/etiAYpo9kI",Audrey Domenichine,0,NaN,42.15,9.083333
2017-05-08 08:57:37,RT @Corse_Matin: La une de @Corse_Matin du lundi 8 mai. #presse #Presidentielle2017 #pqr #louvre #président de la république https://t.co/t…,GERARD MENVUSSA🇫🇷,22,NaN,42.15,9.083333
2017-05-08 08:56:16,RT @Corse_Matin: La une de @Corse_Matin du lundi 8 mai. #presse #Presidentielle2017 #pqr #louvre #président de la république https://t.co/t…,Cyril Petit,22,NaN,42.15,9.083333
2017-05-08 08:54:43,RT @Corse_Matin: #Présidentielle2017 : #LePen et #Macron quasi ex-aequo en #Corse https://t.co/ugOZYOSgYp https://t.co/P5WYvhJmmp,Traveler,6,NaN,42.15,9.083333
2017-05-08 08:54:26,RT @Corse_Matin: La une de @Corse_Matin du lundi 8 mai. #presse #Presidentielle2017 #pqr #louvre #président de la république https://t.co/t…,Traveler,22,NaN,42.15,9.083333
2017-05-08 08:41:12,RT @LadyFoune: Comme tu l'as niquée la grosse ;)  Suis fier ! #Macron #Présidentielle2017 https://t.co/Vv5r2UYdJl,Ne Plus Subir,67,NaN,42.15,9.083333
2017-05-08 08:36:12,"RT @patrickvincigue: #Presidentielle2017 
La Corse est la région qui a plus voté @MLP_officiel.
Tous nos particularismes ne sont pas flatte…",Battì Agostini-Croce,24,NaN,42.15,9.083333
2017-05-08 08:33:30,"RT @patrickvincigue: #Presidentielle2017 
La Corse est la région qui a plus voté @MLP_officiel.
Tous nos particularismes ne sont pas flatte…",Jean Simon Ambrosi,24,NaN,42.15,9.083333
2017-05-08 08:31:44,"RT @patrickvincigue: #Presidentielle2017 
La Corse est la région qui a plus voté @MLP_officiel.
Tous nos particularismes ne sont pas flatte…",Micaela Deniz,24,NaN,42.15,9.083333
2017-05-08 08:31:38,"RT @patrickvincigue: #Presidentielle2017 
La Corse est la région qui a plus voté @MLP_officiel.
Tous nos particularismes ne sont pas flatte…",Carine Benedictus,24,NaN,42.15,9.083333
2017-05-08 08:26:22,"RT @patrickvincigue: #Presidentielle2017 
La Corse est la région qui a plus voté @MLP_officiel.
Tous nos particularismes ne sont pas flatte…",Brice Mondoloni,24,NaN,42.15,9.083333
2017-05-08 08:21:14,#Présidentielle2017. Mais qui est l'homme à la casquette sur scène avec #Macron ? https://t.co/MPyJbJAP7m https://t.co/UqwNQB1XKv,Corse-Matin 📰,0,NaN,42.15,9.083333
2017-05-08 08:18:20,RT @LadyFoune: Comme tu l'as niquée la grosse ;)  Suis fier ! #Macron #Présidentielle2017 https://t.co/Vv5r2UYdJl,Armand Dupont,67,NaN,42.15,9.083333
2017-05-08 08:13:09,RT @Corse_Matin: Insolite. Je vote donc je suis.... créatif et je choisis #Coluche !!! https://t.co/3BfHuTjFG9 #Presidentielle2017 https://…,foxoo Corse,1,NaN,42.15,9.083333
2017-05-08 08:10:21,"RT @patrickvincigue: #Presidentielle2017 
La Corse est la région qui a plus voté @MLP_officiel.
Tous nos particularismes ne sont pas flatte…",MC,24,NaN,42.15,9.083333
2017-05-08 08:09:01,"RT @patrickvincigue: #Presidentielle2017 
La Corse est la région qui a plus voté @MLP_officiel.
Tous nos particularismes ne sont pas flatte…",griso,24,NaN,42.15,9.083333
2017-05-08 08:02:52,"RT @patrickvincigue: #Presidentielle2017 
La Corse est la région qui a plus voté @MLP_officiel.
Tous nos particularismes ne sont pas flatte…",A Piazzetta,24,NaN,42.15,9.083333
2017-05-08 08:02:37,"RT @patrickvincigue: #Presidentielle2017 
La Corse est la région qui a plus voté @MLP_officiel.
Tous nos particularismes ne sont pas flatte…",luciani pierre marie,24,NaN,42.15,9.083333
2017-05-08 07:51:59,Insolite. Je vote donc je suis.... créatif et je choisis #Coluche !!! https://t.co/3BfHuTjFG9 #Presidentielle2017 https://t.co/7jDil5EfnC,Corse-Matin 📰,1,NaN,42.15,9.083333
2017-05-08 07:48:43,"RT @Corse_Matin: #presidentielle2017 Les résultats en #Corse dans votre commune sur :
https://t.co/Oh6rjMjayr https://t.co/eEmzf6P07B",Margot,3,NaN,42.15,9.083333
2017-05-08 07:46:51,"RT @patrickvincigue: #Presidentielle2017 
La Corse est la région qui a plus voté @MLP_officiel.
Tous nos particularismes ne sont pas flatte…",Pascal Tavera,24,NaN,42.15,9.083333
2017-05-08 07:44:50,RT @LadyFoune: C'était pas une bonne idée de mettre Soeur @sofiakkar au publipostage ! #Présidentielle2017 https://t.co/F4nseILLDg,Un Bourgignon,5,NaN,42.15,9.083333
2017-05-08 07:42:54,"#Presidentielle2017 #HauteCorse : Macron:52,27%-Le Pen:47,73% Les résultats dans votre commune 👉🏻… https://t.co/ChpES6kMNe",Préfet Haute-Corse,1,NaN,42.15,9.083333
2017-05-08 07:37:13,RT @LadyFoune: C'était pas une bonne idée de mettre Soeur @sofiakkar au publipostage ! #Présidentielle2017 https://t.co/F4nseILLDg,🌟⚡souris-officiel⚡⭐,5,NaN,42.15,9.083333
2017-05-08 07:36:29,RT @LadyFoune: Comme tu l'as niquée la grosse ;)  Suis fier ! #Macron #Présidentielle2017 https://t.co/Vv5r2UYdJl,Yvon Le Motard,67,NaN,42.15,9.083333
2017-05-08 07:35:12,RT @LadyFoune: Comme tu l'as niquée la grosse ;)  Suis fier ! #Macron #Présidentielle2017 https://t.co/Vv5r2UYdJl,Alexander The Grog,67,NaN,42.15,9.083333
2017-05-08 07:31:15,RT @FTViaStella: #Presidentielle2017 – Les 10 plus gros scores du @FN_officiel en #corse ► https://t.co/sxTDiwTc3S @MLP_officiel,Bichinella,1,NaN,42.15,9.083333
2017-05-08 07:30:30,RT @LadyFoune: Comme tu l'as niquée la grosse ;)  Suis fier ! #Macron #Présidentielle2017 https://t.co/Vv5r2UYdJl,Don't try  Δ,67,NaN,42.15,9.083333
2017-05-08 07:27:51,RT @LadyFoune: Comme tu l'as niquée la grosse ;)  Suis fier ! #Macron #Présidentielle2017 https://t.co/Vv5r2UYdJl,jp210951,67,NaN,42.15,9.083333
2017-05-08 07:24:32,RT @LadyFoune: Comme tu l'as niquée la grosse ;)  Suis fier ! #Macron #Présidentielle2017 https://t.co/Vv5r2UYdJl,Soeur Foune,67,NaN,42.15,9.083333
2017-05-08 07:20:35,RT @Corse_Matin: La une de @Corse_Matin du lundi 8 mai. #presse #Presidentielle2017 #pqr #louvre #président de la république https://t.co/t…,MooToo,22,NaN,42.15,9.083333
2017-05-08 07:20:04,RT @FranceBleuRCFM: #Presidentielle2017  @EmmanuelMacron d’une courte tête en #Corse  https://t.co/Iocw33xhxz https://t.co/N6web4Dupz,ONETTI Marie Thérèse,6,NaN,42.15,9.083333
2017-05-08 07:14:25,RT @LadyFoune: Comme tu l'as niquée la grosse ;)  Suis fier ! #Macron #Présidentielle2017 https://t.co/Vv5r2UYdJl,Ça c'est dit !,67,NaN,42.15,9.083333
2017-05-08 07:13:24,"RT @patrickvincigue: #Presidentielle2017 
La Corse est la région qui a plus voté @MLP_officiel.
Tous nos particularismes ne sont pas flatte…",Valdean,24,NaN,42.15,9.083333
2017-05-08 07:12:39,"RT @patrickvincigue: #Presidentielle2017 
La Corse est la région qui a plus voté @MLP_officiel.
Tous nos particularismes ne sont pas flatte…",Acquaviva Marie anne,24,NaN,42.15,9.083333
2017-05-08 07:10:40,"RT @patrickvincigue: #Presidentielle2017 
La Corse est la région qui a plus voté @MLP_officiel.
Tous nos particularismes ne sont pas flatte…",Cekinzounette,24,NaN,42.15,9.083333
