time,text,user,rts,place,lon,lat
2017-05-08 09:06:37,TF1 se félicite dans un communiqué des audiences réalisées durant la soirée du 2nd tour de la #Presidentielle2017 l… https://t.co/OCoWzCowBv,The-best-man-57,0,NaN,48.699,6.187
2017-05-08 09:00:17,"Ce 7 mai, certains Français auraient fait un choix par défaut...
#Presidentielle2017 https://t.co/BVwJdwNi1g",jlg54,0,NaN,48.699,6.187
2017-05-08 08:58:55,"RT @vestalles: 🎤 Mes chers fachos je paaaars...
...  Je vous aime, mais je paaars 🎶

#Presidentielle2017 https://t.co/q8lpUHG9Ui",chouquette,474,NaN,48.699,6.187
2017-05-08 08:58:05,"RT @Anissa2403: Mélenchon n'avait pas tord, une chaise l'aurait remporté face à MLP #Presidentielle2017",Vaulx-en-Velin 69120,150,NaN,48.699,6.187
2017-05-08 08:56:26,Le jour d'après......😅 oufff pour mon épargne (livret A) #Presidentielle2017,NAVY,0,NaN,48.699,6.187
2017-05-08 08:55:23,"RT @vestalles: 🎤 Mes chers fachos je paaaars...
...  Je vous aime, mais je paaars 🎶

#Presidentielle2017 https://t.co/q8lpUHG9Ui",Radu Mihaileanu,474,NaN,48.699,6.187
2017-05-08 08:54:52,"RT @nicolastochet: Après la #Presidentielle2017, les #législatives2017 seront décisives.
Un point sur les candidatures à #Metz.
https://t.c…",Nicolas Tochet,3,NaN,48.699,6.187
2017-05-08 08:54:08,"RT @vestalles: 🎤 Mes chers fachos je paaaars...
...  Je vous aime, mais je paaars 🎶

#Presidentielle2017 https://t.co/q8lpUHG9Ui",Thom Van De Kamp,474,NaN,48.699,6.187
2017-05-08 08:53:43,"#Présidentielle2017
Cette élection était quoi qu'on en dise inédite. Tous les partis traditionnels balayés au 1er tour.",Gilles,0,NaN,48.699,6.187
2017-05-08 08:53:06,"RT @GrenatFactory: Les résultats en Moselle 
#Presidentielle2017 https://t.co/8eOGUAxOgL",DH ☨,213,NaN,48.699,6.187
2017-05-08 08:52:09,"RT @Anissa2403: Mélenchon n'avait pas tord, une chaise l'aurait remporté face à MLP #Presidentielle2017",philippe col,150,NaN,48.699,6.187
2017-05-08 08:52:07,RT @grenatfc: ne t'inquiètes pas @MLP_officiel on sait ce que ça fait. #Presidentielle2017 https://t.co/deiEQYxh7P,🦊kk🦊,39,NaN,48.699,6.187
2017-05-08 08:51:51,RT @rahelgermann: Tu disais ? #Presidentielle2017 #DepuisTuPleuresCommeLePen https://t.co/kEtgqnmuQv,Lr,280,NaN,48.699,6.187
2017-05-08 08:50:31,RT @rahelgermann: Tu disais ? #Presidentielle2017 #DepuisTuPleuresCommeLePen https://t.co/kEtgqnmuQv,Aimie,280,NaN,48.699,6.187
2017-05-08 08:49:19,"RT @Anissa2403: Mélenchon n'avait pas tord, une chaise l'aurait remporté face à MLP #Presidentielle2017",Gaël M.,150,NaN,48.699,6.187
2017-05-08 08:48:33,"Lundi 08, Mardi 09, Mercredi 10 &amp; Jeudi 11 Mai 2017 : France 2, France 3 &amp; France 5 bouleversent leurs grilles !… https://t.co/c3rQmZxP4x",The-best-man-57,0,NaN,48.699,6.187
2017-05-08 08:48:07,RT @lerepu: #Présidentielle2017 La carte des résultats du second tour https://t.co/cstyOzzNbM,SCORPION,1,NaN,48.699,6.187
2017-05-08 08:47:25,"Voilà ce qu'ils ont trouvé dans un bureau de vote 😂😂😂
#Presidentielle2017 #MacronPresident https://t.co/X6dAG06wuN",bylka®,0,"Saint-Max, France",48.699,6.187
2017-05-08 08:45:40,RT @clemontheair: Allez @MLP_officiel dépêche-toi le tribunal t'attend #Presidentielle2017 https://t.co/QwsILaoiN6,Tfesse,27,NaN,48.699,6.187
2017-05-08 08:45:01,#Présidentielle2017 : Les résultats définitifs du 2nd tour https://t.co/BDxsKlbi3G,Aude Norguin,0,NaN,48.699,6.187
