time,text,user,rts,place,lon,lat
2017-05-08 09:07:44,"RT @lavoixdunord: ⚡️ “10 articles à lire en ce lendemain de #Présidentielle2017”

https://t.co/PLllaxW1Z7",Nolwenn Guyon,2,NaN,50.287,2.781
2017-05-08 09:07:32,RT @AronTwittos: Choqué et déçu que @lerirejaune ne soit pas élu. #Presidentielle2017,• @G|¥ñ!$ •,98,NaN,50.287,2.781
2017-05-08 09:07:24,"RT @lavoixdunord: ⚡️ “10 articles à lire en ce lendemain de #Présidentielle2017”

https://t.co/PLllaxW1Z7",Brendan Troadec,2,NaN,50.287,2.781
2017-05-08 09:06:34,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",Anthony,745,NaN,50.287,2.781
2017-05-08 09:06:10,RT @lavoixdunord: #Presidentielle2017 Paris accueille calmement le nouveau président @EmmanuelMacron https://t.co/NGVCy0Fhiu https://t.co/m…,Coraline,1,NaN,50.287,2.781
2017-05-08 09:05:54,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",H,745,NaN,50.287,2.781
2017-05-08 09:05:26,"⚡️ “10 articles à lire en ce lendemain de #Présidentielle2017”

https://t.co/PLllaxW1Z7",La Voix du Nord,2,NaN,50.287,2.781
2017-05-08 09:05:19,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",야스민,745,NaN,50.287,2.781
2017-05-08 09:05:11,"Une partie des #électeurs n'ont ni voté ou ont voté #FHaine 

#Presidentielle2017 #MacronPresident #Abstention2017… https://t.co/RxbQJtJ4np",Δhmed Smith ™️,0,NaN,50.287,2.781
2017-05-08 09:05:08,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",Histoire2,745,NaN,50.287,2.781
2017-05-08 09:04:53,"RT @VDNLille: L’analyse du vote à #Lille, quartier par quartier
https://t.co/TRN8i5lnx9
#Presidentielle2017 https://t.co/vMcuuSF4oc",PH Pierson Fauqueur,53,NaN,50.287,2.781
2017-05-08 09:04:26,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",Zoubinette,745,NaN,50.287,2.781
2017-05-08 09:02:48,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",WeedStyleZ,745,NaN,50.287,2.781
2017-05-08 09:02:35,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",Orphéann Saint-Juste,745,NaN,50.287,2.781
2017-05-08 09:02:35,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",moi ▽,745,NaN,50.287,2.781
2017-05-08 09:01:47,Très bonne journée à tous dans la France apaisée. #JeVoteElleDegage #Presidentielle2017 @ResisTeamFR https://t.co/LOS2srs2eD,Dfazed ﺕ,0,NaN,50.287,2.781
2017-05-08 09:01:27,"RT @VDNLille: L’analyse du vote à #Lille, quartier par quartier
https://t.co/TRN8i5lnx9
#Presidentielle2017 https://t.co/vMcuuSF4oc",Deo,53,NaN,50.287,2.781
2017-05-08 09:00:36,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",Le Temple de l'Ordre,745,NaN,50.287,2.781
2017-05-08 09:00:35,"Au lendemain de la #Présidentielle2017, retrouvez résultats complets, analyses et réactions dans le journal du jour… https://t.co/zuiRWCDMek",La Voix du Nord,0,NaN,50.287,2.781
2017-05-08 09:00:00,RT @lavoixdunord: #Presidentielle2017 : les bulletins de vote les plus étonnants du #Nord et du #PasdeCalais https://t.co/dzuw7ZjVe0 https:…,Mélanie,27,NaN,50.287,2.781
2017-05-08 08:58:05,"RT @GuiLeConquerant: ""Alors Marine, are you satisfaite de ce résultats de 66 à 34%? En tout cas on te le souhaite. "" #Presidentielle2017 ht…",Maxime Fayolle,102,NaN,50.287,2.781
2017-05-08 08:57:58,RT @lavoixdunord: #Presidentielle2017 : record d’abstention et de votes blancs dans le #Nord - #PasdeCalais https://t.co/7cXmCg0Ho4 https:/…,Coraline,8,NaN,50.287,2.781
2017-05-08 08:57:06,"RT @AQuatennens: Face au libéralisme économique par défaut, vite, choisissons une majorité insoumise ! #Presidentielle2017 #legislatives201…",M-O-I,33,NaN,50.287,2.781
2017-05-08 08:55:59,"RT @AQuatennens: Face au libéralisme économique par défaut, vite, choisissons une majorité insoumise ! #Presidentielle2017 #legislatives201…",Corinne🔽φ,33,NaN,50.287,2.781
2017-05-08 08:55:50,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",Yv Delx ن,745,NaN,50.287,2.781
2017-05-08 08:55:26,"En fait l'arbre généalogique de @christineboutin c'est un tronc, et ça se voit. #Présidentielle2017",Valso Alba,0,NaN,50.287,2.781
2017-05-08 08:55:05,✅#MacronPrésident #Presidentielle2017 https://t.co/V3igLgscJF,ARCADIAN,0,NaN,50.287,2.781
2017-05-08 08:54:59,"RT @Marsupi_L_Ami: Allo fiston c'est papa !!

Je t'ai rempli le frigo avant de partir 

#Présidentielle2017 #Macron #MacronPrésident https:…",GuiGuiMastAAA 🕇✡☨🕆,149,NaN,50.287,2.781
2017-05-08 08:54:29,"RT @Marsupi_L_Ami: Allo fiston c'est papa !!

Je t'ai rempli le frigo avant de partir 

#Présidentielle2017 #Macron #MacronPrésident https:…","Ahmed ""RyKnN""",149,NaN,50.287,2.781
2017-05-08 08:54:06,RT @KVynh: Bref c'est pas mon Mémel #Presidentielle2017  😂,Scooby 🐶,1,NaN,50.287,2.781
2017-05-08 08:53:03,Marine le Pen en pleine reconversion professionnelle après que Macron lui ai proposé une formation qualifiante.… https://t.co/hevoDWKjNL,Jidé,0,NaN,50.287,2.781
2017-05-08 08:51:57,"RT @lavoixdunord: Macron en tête dans le Nord, Le Pen dans le Pas-de-Calais #Presidentielle2017 https://t.co/Sgo4OI6fmN https://t.co/pjRiii…",emma🌸,4,NaN,50.287,2.781
2017-05-08 08:51:40,"ne marquer plus je suis nice.. je suis paris.. ou autres au prochains attentats marquez juste, J'ai voté Macron. #Presidentielle2017",191216❤️,0,NaN,50.287,2.781
2017-05-08 08:50:58,Quand l'élection #Presidentielle2017 tombe en même temps que la Journée mondiale de la #masturbation #Gay #Sex #LGBT https://t.co/an0PK1icAZ,Anthony Rossy,0,NaN,50.287,2.781
2017-05-08 08:50:19,RT @TifannyMgti: jui bcp trp fan d'ma soeur😭 #Presidentielle2017 https://t.co/MsA9Zec19L,youglou,17,NaN,50.287,2.781
2017-05-08 08:50:12,"En même temps Biache est composé à 80% de vieux aigris donc bon ça ne m'étonne pas
#Presidentielle2017 https://t.co/0VZVEm6X05",A Flying Whale,0,"Nord-Pas-de-Calais, France",50.287,2.781
2017-05-08 08:50:09,"https://t.co/JSJOEjWkYH
Macron élu, ce n'est pas une victoire. 
#Presidentielle2017",Manoel XWR Cantault,0,NaN,50.287,2.781
2017-05-08 08:48:58,RT @lavoixdunord: #Presidentielle2017 : record d’abstention et de votes blancs dans le #Nord - #PasdeCalais https://t.co/7cXmCg0Ho4 https:/…,Mathéo Leleu,8,NaN,50.287,2.781
2017-05-08 08:47:39,"RT @Marsupi_L_Ami: Une alternance de Droite Forte #AvecBaroin !!!

#Législatives2017 #Baroin 

#Présidentielle2017 #Macron #MacronPrésident…",J.Amster,68,NaN,50.287,2.781
2017-05-08 08:45:26,RT @lavoixdunord: #Presidentielle2017 : record d’abstention et de votes blancs dans le #Nord - #PasdeCalais https://t.co/7cXmCg0Ho4 https:/…,Abstention,8,NaN,50.287,2.781
2017-05-08 08:45:24,C'est un délice chaque jour. @le_gorafi a du souci à se faire.  #illuminati #Présidentielle2017 https://t.co/dVwACjFH56,Valso Alba,0,NaN,50.287,2.781
2017-05-08 08:44:15,RT @AQuatennens: Mon communiqué après le second tour #Presidentielle2017 - #circo5901 - #FranceInsoumise - #legislatives2017 - #AvenirEnCom…,Delfort,36,NaN,50.287,2.781
2017-05-08 08:42:54,RT @lavoixdunord: #Presidentielle2017 : record d’abstention et de votes blancs dans le #Nord - #PasdeCalais https://t.co/7cXmCg0Ho4 https:/…,Joffrey Leroy,8,NaN,50.287,2.781
2017-05-08 08:42:28,RT @lavoixdunord: #Presidentielle2017 : record d’abstention et de votes blancs dans le #Nord - #PasdeCalais https://t.co/7cXmCg0Ho4 https:/…,Beatrice S.,8,NaN,50.287,2.781
2017-05-08 08:42:23,RT @GrandLilleTV: #Presidentielle2017 : @EmmanuelMacron en tête sur la grande région des @hautsdefrance https://t.co/QXpyMUYCR0,Domi d'Enhaut 🔻,3,NaN,50.287,2.781
2017-05-08 08:41:04,RT @_Caamillee: Mdrrr que y en ait pas un qui se plaigne pendant les 5 prochaines années 😉 #presidentielle2017,la 619 ryders 😍🏍💨,177,NaN,50.287,2.781
2017-05-08 08:40:57,"RT @Marsupi_L_Ami: Allo fiston c'est papa !!

Je t'ai rempli le frigo avant de partir 

#Présidentielle2017 #Macron #MacronPrésident https:…",BoludoXXL,149,NaN,50.287,2.781
2017-05-08 08:40:53,#Presidentielle2017 : record d’abstention et de votes blancs dans le #Nord - #PasdeCalais https://t.co/7cXmCg0Ho4 https://t.co/2pfJPYZHDT,La Voix du Nord,8,NaN,50.287,2.781
2017-05-08 08:40:42,RT @jimmyfaitlcon: Que le moins mauvais gagne 💪🏻#Presidentielle2017,Inès BenYas,178,NaN,50.287,2.781
2017-05-08 08:40:24,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",algyzmann,745,NaN,50.287,2.781
2017-05-08 08:39:01,"RT @VDNLille: L’analyse du vote à #Lille, quartier par quartier
https://t.co/TRN8i5lnx9
#Presidentielle2017 https://t.co/vMcuuSF4oc",©lo,53,NaN,50.287,2.781
2017-05-08 08:38:39,RT @lavoixdunord: #Presidentielle2017 : les bulletins de vote les plus étonnants du #Nord et du #PasdeCalais https://t.co/dzuw7ZjVe0 https:…,KrysKup,27,NaN,50.287,2.781
2017-05-08 08:37:49,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",007dijon🇫🇷,745,NaN,50.287,2.781
2017-05-08 08:36:59,RT @lavoixdunord: #Presidentielle2017 : les bulletins de vote les plus étonnants du #Nord et du #PasdeCalais https://t.co/dzuw7ZjVe0 https:…,b,27,NaN,50.287,2.781
2017-05-08 08:36:57,"#Presidentielle2017 Nord et Pas-de-Calais : où s'est-on le plus abstenu, où a-t-on le plus voté blanc ?… https://t.co/9ROU6O1zO1",France 3 Nord,0,NaN,50.287,2.781
2017-05-08 08:35:52,#Presidentielle2017 «Le plafond de verre est brisé» pour le FN https://t.co/TC0SYbaqaI https://t.co/QonR7XDdZR,Courrier picard,0,NaN,50.287,2.781
2017-05-08 08:35:38,"RT @Marsupi_L_Ami: Une alternance de Droite Forte #AvecBaroin !!!

#Législatives2017 #Baroin 

#Présidentielle2017 #Macron #MacronPrésident…",Berserker⚔️#FB2017,68,NaN,50.287,2.781
2017-05-08 08:35:22,"RT @Marsupi_L_Ami: Allo fiston c'est papa !!

Je t'ai rempli le frigo avant de partir 

#Présidentielle2017 #Macron #MacronPrésident https:…",Rémi Baudin,149,NaN,50.287,2.781
2017-05-08 08:34:54,"RT @Marsupi_L_Ami: Une alternance de Droite Forte #AvecBaroin !!!

#Législatives2017 #Baroin 

#Présidentielle2017 #Macron #MacronPrésident…",Rémi Baudin,68,NaN,50.287,2.781
2017-05-08 08:34:53,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",Natiolive,745,NaN,50.287,2.781
2017-05-08 08:34:40,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",Ernest Hello,745,NaN,50.287,2.781
2017-05-08 08:33:38,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",MLG ⭐,745,NaN,50.287,2.781
2017-05-08 08:33:07,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",Valleedargence,745,NaN,50.287,2.781
2017-05-08 08:32:40,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",Alexandre Gentil,745,NaN,50.287,2.781
2017-05-08 08:32:33,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",Chanterelle,745,NaN,50.287,2.781
2017-05-08 08:32:32,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",l\/IorDi}{u$,745,NaN,50.287,2.781
2017-05-08 08:32:25,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",Libre Nation 🇫🇷†ن▽,745,NaN,50.287,2.781
2017-05-08 08:32:20,"RT @Marsupi_L_Ami: Allo fiston c'est papa !!

Je t'ai rempli le frigo avant de partir 

#Présidentielle2017 #Macron #MacronPrésident https:…",Michele Folliot,149,NaN,50.287,2.781
2017-05-08 08:30:59,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",vivjul,745,NaN,50.287,2.781
2017-05-08 08:30:30,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",🇫🇷🇫🇷🇫🇷🇫🇷,745,NaN,50.287,2.781
2017-05-08 08:30:14,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",Pascal Lafont,745,NaN,50.287,2.781
2017-05-08 08:30:12,RT @ArianaxxBieber: BIEBER PRESIDENT MDR #Presidentielle2017,C🇮🇹,48,NaN,50.287,2.781
2017-05-08 08:28:59,"RT @VDNLille: L’analyse du vote à #Lille, quartier par quartier
https://t.co/TRN8i5lnx9
#Presidentielle2017 https://t.co/vMcuuSF4oc",Kam,53,NaN,50.287,2.781
2017-05-08 08:28:51,"RT @VDNLille: La maire de #Lille se félicite du faible score du FN dans sa ville
#Presidentielle2017 https://t.co/CDoWcTPnj1",Worx,10,NaN,50.287,2.781
2017-05-08 08:26:37,J'avais dit que Marine le pen devais changer le nom de Front National ! C'est une bonne chose ! #Presidentielle2017 💪🏽,♏️NAWRE,0,NaN,50.287,2.781
2017-05-08 08:26:35,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",GM,745,NaN,50.287,2.781
2017-05-08 08:26:06,"RT @AQuatennens: Face au libéralisme économique par défaut, vite, choisissons une majorité insoumise ! #Presidentielle2017 #legislatives201…",danielther,33,NaN,50.287,2.781
2017-05-08 08:25:49,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",FlodaTouch,745,NaN,50.287,2.781
2017-05-08 08:25:36,"Vite les législatives! Vive la France, vive les républicains, et vive la république! 🇫🇷#républicains #Presidentielle2017",BANG BANG,0,NaN,50.287,2.781
2017-05-08 08:24:50,RT @Thibault_Mk: y'en a pas 1 qui peut faire une phrase sans fautes #Présidentielle2017 https://t.co/fyuUVnH6km,Ndecky 🇸🇳,2,NaN,50.287,2.781
2017-05-08 08:24:15,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",Alban Prs,745,NaN,50.287,2.781
2017-05-08 08:23:45,"RT @JeromDumont: Cette image de Macron en marche avec la pyramide du Louvre derriere, c'est très fort ! #Presidentielle2017 #compol https:/…",Jonathan Denis,2,NaN,50.287,2.781
2017-05-08 08:23:42,RT @Mushway: J'ai decider de faire une claude françois au lieu de regarder les resultats #Presidentielle2017 https://t.co/8Yeh9y8ADM,Tibi,40,NaN,50.287,2.781
2017-05-08 08:23:25,RT @lavoixdunord: #Presidentielle2017 : les bulletins de vote les plus étonnants du #Nord et du #PasdeCalais https://t.co/dzuw7ZjVe0 https:…,Briot séverine,27,NaN,50.287,2.781
2017-05-08 08:23:25,"RT @VDNLille: L’analyse du vote à #Lille, quartier par quartier
https://t.co/TRN8i5lnx9
#Presidentielle2017 https://t.co/vMcuuSF4oc",G,53,NaN,50.287,2.781
2017-05-08 08:22:40,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",Alain gonzi,745,NaN,50.287,2.781
2017-05-08 08:20:26,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",Chevalier Bayard ✝️,745,NaN,50.287,2.781
2017-05-08 08:19:57,"RT @DePoorterV: Entendu chez #Macron : ""On va pas au pays, on va rester ici"" #Elections2017 #Presidentielle2017 @RadioLondres_fr https://t.…",MédecinIden†i†aire ﻦ,745,NaN,50.287,2.781
2017-05-08 08:19:25,"RT @Candice_Pkcz: Ma TL regorge de fins politologues, c bo #Presidentielle2017",Paul,1,NaN,50.287,2.781
2017-05-08 08:19:08,"RT @Marsupi_L_Ami: Allo fiston c'est papa !!

Je t'ai rempli le frigo avant de partir 

#Présidentielle2017 #Macron #MacronPrésident https:…",Franck GERARD,149,NaN,50.287,2.781
2017-05-08 08:18:44,"RT @VDNLille: L’analyse du vote à #Lille, quartier par quartier
https://t.co/TRN8i5lnx9
#Presidentielle2017 https://t.co/vMcuuSF4oc",Lucas,53,NaN,50.287,2.781
2017-05-08 08:18:11,qui veut se pécho Brigitte Macron #TPMP #Quotidien #8mai1945 #Macron @EmmanuelMacron  #Presidentielle2017 #TF1 #BFMTV #France2,Anthony Rossy,0,NaN,50.287,2.781
2017-05-08 08:17:12,#Présidentielle2017 Les résultats à #Rennes et #Nantes. https://t.co/lOkX4MO2UB,Lechevestrier Julien,0,"Arras, France",50.287,2.781
2017-05-08 08:15:20,y'en a pas 1 qui peut faire une phrase sans fautes #Présidentielle2017 https://t.co/fyuUVnH6km,cosmovum,2,NaN,50.287,2.781
2017-05-08 08:15:01,RT @lavoixdunord: #Presidentielle2017 : les bulletins de vote les plus étonnants du #Nord et du #PasdeCalais https://t.co/dzuw7ZjVe0 https:…,Ludivine,27,NaN,50.287,2.781
2017-05-08 08:14:19,"RT @Marsupi_L_Ami: Allo fiston c'est papa !!

Je t'ai rempli le frigo avant de partir 

#Présidentielle2017 #Macron #MacronPrésident https:…",Merci NS #NS2022,149,NaN,50.287,2.781
2017-05-08 08:13:15,RT @VictoireHM: Manifestement quelqu'un n'a pas su choisir #Presidentielle2017 #Nieppe https://t.co/pBxntpzGlO,Francais de Souche,4,NaN,50.287,2.781
