time,text,user,rts,place,lon,lat
2017-05-08 09:10:04,RT @Victorien_ca: Sans surprise ces élections #Presidentielle2017 https://t.co/DwqMyuGkn6,Expectation,723,NaN,48.849,2.637
2017-05-08 09:10:04,RT @Pompe_lemousse: Ca par contre je ne m'y attendais pas du tout de la part de Marine #Presidentielle2017 https://t.co/dZqGvP2jXT,Sch,3012,NaN,48.849,2.637
2017-05-08 09:10:03,"RT @AlexMaless: Tranquillement, @MLP_officiel fête sa défaite. #présidentielle2017 #LePen https://t.co/uEQMPQundT",Maxinho 🇪🇸,5456,NaN,48.849,2.637
2017-05-08 09:10:02,"RT @GeWoessner: La joie de Ségolène Royal et François Bayrou, saluant ""la fin d'un système""... #QuatrièmeDimension #Présidentielle2017",LL,101,NaN,48.849,2.637
2017-05-08 09:10:01,"RT @Pearlislem: Macron choisit la pyramide du Louvre pour célébrer sa victoire 
Coïncidence ? Je n'crois pas 😂 #Presidentielle2017 #illumin…",🔸Alexandrine 🌼,131,NaN,48.849,2.637
2017-05-08 09:10:00,RT @afpfr: #Presidentielle2017 Marine Le Pen en tête dans 2 départements au 2nd tour; l'Aisne &amp; le Pas-de-Calais #AFP [résultats définitifs…,dor,63,NaN,48.849,2.637
2017-05-08 09:09:59,"RT @francediplo: ⚡️“#Présidentielle2017 : Les réactions des dirigeants internationaux après la victoire d' @EmmanuelMacron ""

https://t.co/…",Erwan Le Yar,10,NaN,48.849,2.637
2017-05-08 09:09:58,"RT @Pompe_lemousse: - Tu te fous de moi la ?!
- Vas y c'est bien ministre de la magie ! Mdr
- Va te faire foutre 
#Presidentielle2017 https…",MCC,2515,NaN,48.849,2.637
2017-05-08 09:09:58,RT @Yxussef: Mélenchon 😭😭😂😂 #Presidentielle2017 https://t.co/XVIzr0LlxR,nem,3822,NaN,48.849,2.637
2017-05-08 09:09:58,RT @Yxussef: Mélenchon 😭😭😂😂 #Presidentielle2017 https://t.co/XVIzr0LlxR,™,3822,NaN,48.849,2.637
