time,text,user,rts,place,lon,lat
2017-05-08 09:06:01,@EmanuelMacron jamais vous serez mon président !!  #Presidentielle2017,Aubin,0,NaN,48.879,0.171
2017-05-08 09:01:28,Veille sur le Web est sorti de presse! https://t.co/tcaJ5IPItN Les unes d'aujourd'hui via @agentit @dbtmobile @RudyViard #presidentielle2017,Yoann AMIRAULT,0,NaN,48.879,0.171
2017-05-08 08:55:41,#Presidentielle2017 la France s'enfonce dans la décomposition de la société..,DLF Paris 16,0,NaN,48.879,0.171
2017-05-08 08:51:51,"""Le gagnant de la #Presidentielle2017 est un exécutant de l'état maastrichtien"" #Onfray",DLF Paris 16,0,NaN,48.879,0.171
2017-05-08 08:51:26,#Présidentielle2017 : ces 10 tweets qui nous ont bien faire rire https://t.co/q7azyOjLm0 via @actufr_officiel,Laurent Rebours,0,NaN,48.879,0.171
2017-05-08 08:41:54,RT @AmandineDachard: @Olivier_Truchot @GG_RMC @RMCinfo @numero23tv 😉😂#Moutons #Presidentielle2017 https://t.co/wTg7GgtLHL,remy houet,1,NaN,48.879,0.171
2017-05-08 08:40:34,"RT @MPERDEREAU: Ce soir, nous l'avons fait. Pour vous, pour nous, pour la France, nous l'avons fait. Immense espoir. 🇫🇷 #Presidentielle2017…",Michaël RUIZ,39,NaN,48.879,0.171
2017-05-08 08:37:26,RT @delirius_fake: Un nouvel Homme bientôt à l'Élysée #Presidentielle2017 https://t.co/adasPrDoxy,Marine Lonacre,2,NaN,48.879,0.171
2017-05-08 08:36:04,RT @delirius_fake: Un nouvel Homme bientôt à l'Élysée #Presidentielle2017 https://t.co/adasPrDoxy,jacqueline dantec,2,NaN,48.879,0.171
2017-05-08 08:32:04,@Olivier_Truchot @GG_RMC @RMCinfo @numero23tv 😉😂#Moutons #Presidentielle2017 https://t.co/wTg7GgtLHL,Amandine,1,NaN,48.879,0.171
2017-05-08 08:31:57,Un nouvel Homme bientôt à l'Élysée #Presidentielle2017 https://t.co/adasPrDoxy,DéLiRiUs,2,NaN,48.879,0.171
2017-05-08 08:26:31,Les gens n'ont pas voté pour des idées mais contre un parti et seront les premiers a descendre dans la rue avec des pavé #Presidentielle2017,Honorine Pactat,0,NaN,48.879,0.171
2017-05-08 08:22:46,RT @ILespagnol: J'aime ma France! #Presidentielle2017,NONNOTTE,1,NaN,48.879,0.171
2017-05-08 08:22:34,"RT @nicolas_gano: 18h00 le soleil se couche l'île de #LaRéunion, fermeture des bureaux de vote dans 1 heure.
#Presidentielle2017
#Avoté #Je…",MrsGeoT,20,NaN,48.879,0.171
2017-05-08 08:22:29,Macron sera-t-il à la hauteur durant ces 5 prochaines années ? #Presidentielle2017 #MacronPresident,SAMES Production,0,NaN,48.879,0.171
2017-05-08 08:21:47,Une arrivée sur l'Ode à la joie tellement symbolique 👌🏼🇪🇺#EnMarche #UE #présidentielle2017 https://t.co/4cSF1YeIea,sweet madness,0,NaN,48.879,0.171
2017-05-08 08:21:05,"RT @27actu: #Présidentielle2017 Résultats en #Normandie : la région passe de #LePen à #Macron 
➡️ Macron 61,96%
➡️ Le Pen 38,04%
https://t.…",Egasel,2,NaN,48.879,0.171
2017-05-08 08:19:05,"RT @MPERDEREAU: Ce soir, nous l'avons fait. Pour vous, pour nous, pour la France, nous l'avons fait. Immense espoir. 🇫🇷 #Presidentielle2017…",Armand Dupont,39,NaN,48.879,0.171
2017-05-08 08:18:43,"#LaRéunion #Présidentielle2017
1 électeur sur 3 a choisi Emmanuel Macron
1 électeur sur 5 a choisi Marine Le Pen https://t.co/VLRWscK0Xg",Linfo.re,0,NaN,48.879,0.171
2017-05-08 08:12:17,Vous avez élu un candidat soutenu par des radicaux pour lutter contre une haine qui n'est pas. #macron #MacronPresident #Presidentielle2017,Roméo Clo Skrtel,0,NaN,48.879,0.171
2017-05-08 08:01:35,"RT @MPERDEREAU: Ce soir, nous l'avons fait. Pour vous, pour nous, pour la France, nous l'avons fait. Immense espoir. 🇫🇷 #Presidentielle2017…",Grill Martine,39,NaN,48.879,0.171
2017-05-08 08:00:54,Good luck aux IRP + ou - investis dans leurs entreprises #Presidentielle2017 #accordentreprise #macron,vidal julien,0,NaN,48.879,0.171
2017-05-08 07:57:35,"RT @chrisfreb_perso: Pres du #havre à Bolbec @MLP_officiel arrive en tête avec 53,6% #Presidentielle2017 @paris_normandie",Jonathan G.,2,NaN,48.879,0.171
2017-05-08 07:50:40,"Voici les résultats des votes a #LeMans 
#ElectionPresidentielle2017 #Avote #Presidentielle2017 https://t.co/cJiqcklCIa",damdam072,0,"Le Mans, France",48.879,0.171
2017-05-08 07:49:52,"Voici les résultats des votes a #SavignéLévêque  
#ElectionPresidentielle2017 #Avote #Presidentielle2017 https://t.co/hmURQ9BOEs",damdam072,0,"Le Mans, France",48.879,0.171
2017-05-08 07:45:45,"Pendant 5 ans, Emmanuel sentirait sur sa nuque le souffle brûlant de la résistance. #signext2recit #macron #Presidentielle2017",Benoit Lemennais,0,NaN,48.879,0.171
2017-05-08 07:41:51,"RT @MPERDEREAU: Ce soir, nous l'avons fait. Pour vous, pour nous, pour la France, nous l'avons fait. Immense espoir. 🇫🇷 #Presidentielle2017…",Macron des Sources,39,NaN,48.879,0.171
2017-05-08 07:38:26,"Le vrai résultat, c'est ça : abstention 25% et vote blanc ou nul 9%. 
Pas si légitime que ça le nouveau président.… https://t.co/X8Jj8H4DQp",Kévin.,0,NaN,48.879,0.171
2017-05-08 07:30:13,RT @mathis_ab: Face à un tel choix se protéger est essentiel  #Avote #Presidentielle2017 https://t.co/gmVL6X9nFR,Lei,12,NaN,48.879,0.171
2017-05-08 07:25:57,"RT @ManonLoubet2: #Presidentielle2017 La Normandie de #LePen à #Macron, l'abstention en hausse https://t.co/EvNV9E5tcT via @NormandieActu",Odile Lecrosnier,2,NaN,48.879,0.171
