time,text,user,rts,place,lon,lat
2017-05-08 09:03:36,On passe du Flamby au Macro #Presidentielle2017,Tisteba,0,NaN,47.763,-0.329
2017-05-08 09:03:06,RT @ValerianPoirier: #Presidentielle2017 les Français ont décidé de vous éliminer et leurs sentences et irrévocable https://t.co/W8FqQc3l9W,laila ﺕ ☪ 🇫🇷,17,NaN,47.763,-0.329
2017-05-08 08:51:26,#Présidentielle2017 : ces 10 tweets qui nous ont bien faire rire https://t.co/q7azyOjLm0 via @actufr_officiel,Laurent Rebours,0,NaN,47.763,-0.329
2017-05-08 08:47:09,RT @mauny63: @EmmanuelMacron a les clefs de l'Élysée &amp; les Citoyens celles de construire1gvt majoritaire #Presidentielle2017 #legislatives2…,-Julien-,10,NaN,47.763,-0.329
2017-05-08 08:40:34,"RT @MPERDEREAU: Ce soir, nous l'avons fait. Pour vous, pour nous, pour la France, nous l'avons fait. Immense espoir. 🇫🇷 #Presidentielle2017…",Michaël RUIZ,39,NaN,47.763,-0.329
2017-05-08 08:31:13,"On m'annonce que @EmmanuelMacron arrive à pied sur les #ChampsElysees pour #Commemoration ! Jusqu'au bout, le mec ! #Presidentielle2017",Thibault Mercier,0,NaN,47.763,-0.329
2017-05-08 08:22:48,"Le vote utile donne un président par défaut. A quand un vrai président pour tous les Français ?
#Presidentielle2017",Guillaume LANGLAIS,0,NaN,47.763,-0.329
2017-05-08 08:19:05,"RT @MPERDEREAU: Ce soir, nous l'avons fait. Pour vous, pour nous, pour la France, nous l'avons fait. Immense espoir. 🇫🇷 #Presidentielle2017…",Armand Dupont,39,NaN,47.763,-0.329
2017-05-08 08:16:08,Bon bah #DupontAignan ne sera pas #1erministre ... #MacronPresident #Presidentielle2017 #macron @ONPCofficiel… https://t.co/hNgMbuJSS0,✏ Rom__1__ ✏,0,NaN,47.763,-0.329
2017-05-08 08:01:35,"RT @MPERDEREAU: Ce soir, nous l'avons fait. Pour vous, pour nous, pour la France, nous l'avons fait. Immense espoir. 🇫🇷 #Presidentielle2017…",Grill Martine,39,NaN,47.763,-0.329
