time,text,user,rts,place,lon,lat
2017-05-08 09:05:17,"Les mahorais, 65% pour Le Pen, mais quelle mentalité de merde ils ont, putain, ça me dégoûte... Honte a eux #Presidentielle2017",Omar 🇰🇲,0,NaN,43.935,6.068
2017-05-08 09:05:02,#Presidentielle2017 et une petite claque à @RobertMenardFR ou #MLP2017 perd dans sa ville; Trop bon ! merci Macron.,JM Dandreu,0,NaN,43.935,6.068
2017-05-08 09:04:11,"RT @takapalir: #Presidentielle2017 Allez mes amis, un peu d'humour, on en a besoin, entre les magouilles #Twitter cette nuit et le résultat…",non conformeS,344,NaN,43.935,6.068
2017-05-08 09:04:00,@dw_culture Macron's wife has promised him a special new toy from the shops tomorrow for being such a clever little… https://t.co/UObmNLvSoc,Sheikpeare,0,NaN,43.935,6.068
2017-05-08 09:02:53,RT @laprovence: #Insolite : mais qui est l'homme à la casquette derrière @EmmanuelMacron ? https://t.co/Oiz0CMs3Ra 😂🤣 #Presidentielle2017 #…,Jean-Marc,1,NaN,43.935,6.068
2017-05-08 09:02:16,"RT @jeanrossignol: La famille d'Emmanuel Macron unie pour fêter la victoire...
Une famille comme une autre 👌
#Presidentielle2017

+ de 3 80…",Armand Petit,1,NaN,43.935,6.068
2017-05-08 09:02:11,"#Presidentielle2017 Il faut détruire l’Anneau, Manu ! C’est ta dernière chance !",Nicolas FOURNON,0,NaN,43.935,6.068
2017-05-08 09:02:07,"RT @jeanrossignol: Francia elige a Macron y frena el populismo
La France choisit Macron et freine le populisme
#Presidentielle2017

+/- 1 0…",Armand Petit,1,NaN,43.935,6.068
2017-05-08 09:01:58,"RT @jeanrossignol: Frankreich: Macron gewinnt Präsidentschaftswahl gegen Le Pen 
#Presidentielle2017 

&gt; 2 200 ansichten :
https://t.co/NAg…",Armand Petit,1,NaN,43.935,6.068
2017-05-08 09:01:42,"RT @jeanrossignol: #Presidentielle2017 : Emmanuel Macron sera le plus jeune chef d’Etat en fonction dans une démocratie

&gt; 1 000 vues :
htt…",Armand Petit,1,NaN,43.935,6.068
2017-05-08 09:01:39,RT @takapalir: #Presidentielle2017 Qui a dit que nous étions impatients ? 😅😅 #CompteARebours #MacronPresident https://t.co/uKiKtkmXa3,震えの不幸,41,NaN,43.935,6.068
2017-05-08 09:00:13,#Insolite : mais qui est l'homme à la casquette derrière @EmmanuelMacron ? https://t.co/Oiz0CMs3Ra 😂🤣… https://t.co/UR7e8Gblbt,La Provence,1,NaN,43.935,6.068
2017-05-08 09:00:03,"Les organisations musulmanes se félicitent de l’élection d’Emmanuel #Macron
#Presidentielle2017 Dans @LeMuslimPost… https://t.co/1BUmUybHXX",Pierre Zak. LAJARGE,0,NaN,43.935,6.068
2017-05-08 08:59:22,"RT @laprovence: .@RenaudMuselier : ""C'est le hold up du siècle"" https://t.co/nXhLu4difh #Presidentielle2017 https://t.co/J7oAD4dsIY",Renaud Muselier,4,NaN,43.935,6.068
2017-05-08 08:59:15,RT @takapalir: #Presidentielle2017 La réaction de #Poutine https://t.co/IgBrYQCeHa,♦♣ C. Claire ♠♥,263,NaN,43.935,6.068
2017-05-08 08:58:43,"RT @takapalir: #Presidentielle2017 Allez mes amis, un peu d'humour, on en a besoin, entre les magouilles #Twitter cette nuit et le résultat…",olivier Moussard-HG,344,NaN,43.935,6.068
2017-05-08 08:58:38,"RT @takapalir: #Presidentielle2017 Allez mes amis, un peu d'humour, on en a besoin, entre les magouilles #Twitter cette nuit et le résultat…",Dôm Tôwêr FQSP©,344,NaN,43.935,6.068
2017-05-08 08:57:50,"RT @takapalir: #Presidentielle2017 Allez mes amis, un peu d'humour, on en a besoin, entre les magouilles #Twitter cette nuit et le résultat…",ceronetti philippe,344,NaN,43.935,6.068
2017-05-08 08:57:46,RT @takapalir: #Presidentielle2017 Qui a dit que nous étions impatients ? 😅😅 #CompteARebours #MacronPresident https://t.co/uKiKtkmXa3,kenzo,41,NaN,43.935,6.068
2017-05-08 08:57:38,RT @david_rachline: Je suis dans quelques instants sur @RMCinfo ! #Présidentielle2017 https://t.co/KQOVOK0pQH,BdS,8,NaN,43.935,6.068
2017-05-08 08:57:37,RT @ManuBrewski: Les LR et PS  qui se disputes pour savoir comment ils vont se faire bouffer c'est trop drôle 😂😂#Presidentielle2017,LMParis Lena💕♥️💜,5,NaN,43.935,6.068
2017-05-08 08:57:33,"La famille d'Emmanuel Macron unie pour fêter la victoire...
Une famille comme une autre 👌
#Presidentielle2017

+ de… https://t.co/F0gU2TGcY3",jean rossignol,1,NaN,43.935,6.068
2017-05-08 08:57:25,RT @david_rachline: Je réagis maintenant au résultat de la #Présidentielle2017 sur @bleuprovence !,BdS,17,NaN,43.935,6.068
2017-05-08 08:57:12,RT @david_rachline: Retrouvez-moi dans quelques instants sur @BFMTV ! #Présidentielle2017 https://t.co/yFJrgLJpgw,BdS,13,NaN,43.935,6.068
2017-05-08 08:56:40,RT @david_rachline: Je suis maintenant sur @France24_fr. #Presidentielle2017 https://t.co/SFy3xmQAwS,BdS,11,NaN,43.935,6.068
2017-05-08 08:56:34,"RT @Var_Matin: Résultat à Six-Fours-les-Plages
Macron : 50.38%
Le Pen: 49.62%
#Presidentielle2017",¿camille,9,NaN,43.935,6.068
