,text,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,entities,candidate,dic_rounded,media_tri,media_bin,total
0,RT @Corse_Matin: #2017LeDebat Quand tu ramène ta poudre de perlimpimpin à la Présidentielles ,2,2,2,1,1,1,None,None,Nan,2,1,Neu
1,RT @Corse_Matin: #2017LeDebat Quand tu ramène ta poudre de perlimpimpin à la Présidentielles ,2,2,2,1,1,1,None,None,Nan,2,1,Neu
2,RT @Corse_Matin: #2017LeDebat Quand tu ramène ta poudre de perlimpimpin à la Présidentielles ,2,2,2,1,1,1,None,None,Nan,2,1,Neu
3,"RT @Corse_Matin: #2017LeDebat Quand t'as échappé à ce second tour et que tu regardes le débat au village , pépouze devant la TV  ",2,2,2,1,1,1,None,None,0,2,1,Neu
4,"RT @CHRISTINA2A12: C bien ce que je pensais en regardant #2017LeDebat :
 #Macreux avait tout de l'élève qui attendait les réponses de sa pr… ",2,2,2,1,1,1,None,None,Nan,2,1,Neu
5,"C bien ce que je pensais en regardant #2017LeDebat :
 #Macreux avait tout de l'élève qui attendait les réponses de…  ",2,2,2,1,1,1,None,None,Nan,2,1,Neu
6,RT @iSleex_: qd elle te regarde comme ça t'as tout gagné #2017LeDebat ,2,2,2,1,0,0,None,None,1,2,0,Neu
7,"RT @dounss_nia: @GRADIDUR quand il s'ennuie il prend des hélicos ,il Va voir en didi la #LDC , moi quand je m'ennuie je snap Marine LEPEN 😂😅#… ",2,2,2,1,1,0,Marine,LePen,Nan,2,1,Neu
8,RT @iSleex_: #2017LeDébat ,2,2,2,0,0,1,None,None,Nan,2,0,Neu
9,RT @iSleex_: qd elle te regarde comme ça t'as tout gagné #2017LeDebat ,2,2,2,1,0,0,None,None,1,2,0,Neu
10,RT @iSleex_: #2017LeDébat ,2,2,2,0,0,1,None,None,Nan,2,0,Neu
