,text,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,entities,candidate,dic_rounded,media_tri,media_bin,total
0,"RT @MardiMondain: Qui soutenez-vous pour le 2nd tour? 🇫🇷
Lançons le GRAND sondage citoyen!
1•Votez 
2•Retweetez 
#2017LeDebat   
#ElectionP… ",2,2,2,0,0,0,GRAND,None,0,2,0,0
1,"RT @bchameroy: Je regarde #2017LeDebat en HD , c'est dingue on voit vachement bien les détails !  ",2,2,2,1,1,1,None,None,1,2,1,1
2,RT @pandisama_: CEST DE LA POUDRE DE PERLIMPIMPIMMMMMMM SALOOOOOPEEEEEEEE #2017LeDebat ,2,2,2,0,0,0,"CEST DE LA,POUDRE DE",None,Nan,2,0,Neu
3,RT @EMacron_2017: [#JeVoteMacron 🇫🇷 #2017LeDébat] E. #Macron le plus convaincant pour 63% des téléspectateurs ! 👏✌💪 ,2,2,1,0,1,1,"#JeVoteMacron,#Macron",Macron,Nan,2,1,Neu
4,"RT @lobs: #2017LeDebat , 23h18 , on a perdu Marine le Pen :    ",2,2,2,0,1,0,Marine,LePen,0,2,0,0
5,RT @deleteitugly: Meilleur moment du débat #2017LeDebat ,2,2,1,1,1,1,Meilleur,None,Nan,2,1,Neu
6,"RT @NicolasKanaan: Je suis sûr que Macron a parié 10000€ avec un pote qu'il devait placer ""Poudre de perlinpinpin"" dans une phrase

#LeGran… ",2,2,2,0,0,0,None,None,1,2,0,Neu
7,"RT @Neacko83: En 2002 , Chirac disait : ""on ne débat pas avec l'extreme droite"".
15 ans après , en voyant #LePen , on comprend mieux pourquoi.… ",2,2,2,1,0,1,"Chirac,#LePen",LePen,1,2,1,1
8,RT @Alextrxm: les journalistes quand ils essayent d'intervenir mais qu'ils se font couper la parole  #2017LeDebat ,2,2,2,0,1,0,None,None,Nan,2,0,Neu
9,"RT @auroreberge: Fierté immense de soutenir Emmanuel Macron d'autant plus grande après #2017LeDebat ! 
Remettons la France en marche ! 
#Je… ",2,2,2,0,0,0,"Fierté,Emmanuel Macron",Macron,1,2,0,Neu
